"","ticker","date","variable","value"
"1","NYO","30 June 2015","Address","47 Havelock Street  Suite 2, 6005"
"2","NYO","30 June 2015","Auditor:","HLB Mann Judd"
"3","NYO","30 June 2015","City/Country:","West Perth, Australia"
"4","NYO","30 June 2015","Company sector name:","Basic Materials"
"5","NYO","30 June 2015","End of fiscal year:","30 June 2015"
"6","NYO","30 June 2015","Industry group name","Metals & Mining"
"7","NYO","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","NYO","30 June 2015","Web address:","http://www.nyotaminerals.com"
"9","NYO","30 June 2015","Assets Turnover","-"
"10","NYO","30 June 2015","Book-Value pS","0.00"
"11","NYO","30 June 2015","Cash Flow pS","-0.00"
"12","NYO","30 June 2015","Cash pS","0.00"
"13","NYO","30 June 2015","Current Ratio","1.34"
"14","NYO","30 June 2015","Dividend pS (DPS)","-"
"15","NYO","30 June 2015","Dividend Yield","-"
"16","NYO","30 June 2015","Domestic Sales","-"
"17","NYO","30 June 2015","Earnings pS (EPS)","-0.00"
"18","NYO","30 June 2015","EBITDA Margin","-"
"19","NYO","30 June 2015","Effective Tax Rate","-"
"20","NYO","30 June 2015","Foreign Sales","-"
"21","NYO","30 June 2015","Free Cash Flow pS","-0.00"
"22","NYO","30 June 2015","Gross gearing","39.29"
"23","NYO","30 June 2015","Gross Profit Margin","0.00"
"24","NYO","30 June 2015","Interest Cover","-"
"25","NYO","30 June 2015","Latest Shares Outstanding","1,877.60"
"26","NYO","30 June 2015","Leverage Ratio (Assets/Equity)","1.65"
"27","NYO","30 June 2015","LT Debt/Total Capital","-"
"28","NYO","30 June 2015","Market Capitalisation","0.90"
"29","NYO","30 June 2015","Net Debt","0.14"
"30","NYO","30 June 2015","NYO KEY FIGURES (at previous day's close)",NA
"31","NYO","30 June 2015","PE Ratio","-0.33"
"32","NYO","30 June 2015","Pre-Tax Profit Margin","-"
"33","NYO","30 June 2015","Research & Devlopment (R&D) as ...","0.00"
"34","NYO","30 June 2015","Return on Assets (ROA)","-0.79"
"35","NYO","30 June 2015","Return on Capital Invested (ROC...","-0.91"
"36","NYO","30 June 2015","Return on Equity (ROE)","-0.91"
"37","NYO","30 June 2015","Sales per Employee","-"
"38","NYO","30 June 2015","Selling, General & Adm/tive (SG...","7,481.68"
"39","NYO","30 June 2015","Spread","0.00"
"40","NYO","30 June 2015","Tangible Book-Value pS","0.00"
"41","NYO","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"42","NYO","30 June 2015","Working Capital pS","0.00"
"43","NYO","30 June 2015","Yesterday's Close","0.00"
"44","NYO","30 June 2015","1 Month","0.00"
"45","NYO","30 June 2015","1 Week","0.00"
"46","NYO","30 June 2015","1 Year","0.00"
"47","NYO","30 June 2015","3 Months","0.00"
"48","NYO","30 June 2015","3 Years","0.02"
"49","NYO","30 June 2015","5 Years","0.16"
"50","NYO","30 June 2015","5 Years","0.11"
"51","NYO","30 June 2015","6 Months","0.00"
"52","NYO","30 June 2015","Period †","High"
"53","NYO","30 June 2015","Period †","Open"
"54","NYO","30 June 2015","","1 year"
"55","NYO","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"56","NYO","30 June 2015","CFO growth","-"
"57","NYO","30 June 2015","Diluted continuous EPS growth","-"
"58","NYO","30 June 2015","Diluted EPS growth","-"
"59","NYO","30 June 2015","Dividend growth","-"
"60","NYO","30 June 2015","Equity per share growth","-0.94"
"61","NYO","30 June 2015","FCF growth","-"
"62","NYO","30 June 2015","Net income cont growth","-"
"63","NYO","30 June 2015","Net income growth","-"
"64","NYO","30 June 2015","NYO Growth Ratios (30 June 2015)",NA
"65","NYO","30 June 2015","Operating income growth","-"
"66","NYO","30 June 2015","Operating revenue growth","-0.16"
"67","NYO","30 June 2015","Revenue growth","-0.16"
"68","NYO","30 June 2015","Basic EPS","-0.00"
"69","NYO","30 June 2015","Basic EPS from Continuing Ope...","-0.00"
"70","NYO","30 June 2015","Basic EPS from Discontinued O...","0.00"
"71","NYO","30 June 2015","Basic EPS,Continuing and Disc...","-0.00"
"72","NYO","30 June 2015","Basic Weighted Average Shares...","902.59"
"73","NYO","30 June 2015","Calculated Tax Effect Of Unus...","-0.03"
"74","NYO","30 June 2015","Depreciation","0.02"
"75","NYO","30 June 2015","Depreciation and Amortization","0.02"
"76","NYO","30 June 2015","Depreciation,Reconciled","0.02"
"77","NYO","30 June 2015","Diluted EPS","-0.00"
"78","NYO","30 June 2015","Diluted EPS from Continuing O...","-0.00"
"79","NYO","30 June 2015","Diluted EPS from Discontinued...","0.00"
"80","NYO","30 June 2015","Diluted EPS,Continuing and Di...","-0.00"
"81","NYO","30 June 2015","Diluted Weighted Average Shar...","902.59"
"82","NYO","30 June 2015","Discontinued Operations","0.00"
"83","NYO","30 June 2015","Earning Before Interest and T...","-3.17"
"84","NYO","30 June 2015","Earning Before Interest Tax D...","-3.15"
"85","NYO","30 June 2015","General and Administrative Ex...","0.41"
"86","NYO","30 June 2015","Impairment of Capital Assets","0.75"
"87","NYO","30 June 2015","Miscellaneous Other Operating...","0.00"
