"","ticker","date","variable","value"
"1","OKU","30 June 2015","Address","36 Ord Street  Suite 9, 6005"
"2","OKU","30 June 2015","Auditor:","BDO Audit (WA) Pty Ltd"
"3","OKU","30 June 2015","City/Country:","Perth, Australia"
"4","OKU","30 June 2015","Company sector name:","Basic Materials"
"5","OKU","30 June 2015","End of fiscal year:","30 June 2015"
"6","OKU","30 June 2015","Industry group name","Metals & Mining"
"7","OKU","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","OKU","30 June 2015","Web address:","http://www.okloresources.com"
"9","OKU","30 June 2015","Assets Turnover","-"
"10","OKU","30 June 2015","Book-Value pS","-"
"11","OKU","30 June 2015","Cash Flow pS","-"
"12","OKU","30 June 2015","Cash pS","-"
"13","OKU","30 June 2015","Current Ratio","3.65"
"14","OKU","30 June 2015","Dividend pS (DPS)","-"
"15","OKU","30 June 2015","Dividend Yield","-"
"16","OKU","30 June 2015","Domestic Sales","-"
"17","OKU","30 June 2015","Earnings pS (EPS)","-"
"18","OKU","30 June 2015","EBITDA Margin","-"
"19","OKU","30 June 2015","Effective Tax Rate","-"
"20","OKU","30 June 2015","Foreign Sales","-"
"21","OKU","30 June 2015","Free Cash Flow pS","-"
"22","OKU","30 June 2015","Gross gearing","-"
"23","OKU","30 June 2015","Gross Profit Margin","-"
"24","OKU","30 June 2015","Interest Cover","-"
"25","OKU","30 June 2015","Latest Shares Outstanding","240.52"
"26","OKU","30 June 2015","Leverage Ratio (Assets/Equity)","1.08"
"27","OKU","30 June 2015","LT Debt/Total Capital","-"
"28","OKU","30 June 2015","Market Capitalisation","33.67"
"29","OKU","30 June 2015","Net Debt","-"
"30","OKU","30 June 2015","OKU KEY FIGURES (at previous day's close)",NA
"31","OKU","30 June 2015","PE Ratio","-"
"32","OKU","30 June 2015","Pre-Tax Profit Margin","-"
"33","OKU","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","OKU","30 June 2015","Return on Assets (ROA)","-0.01"
"35","OKU","30 June 2015","Return on Capital Invested (ROC...","-0.02"
"36","OKU","30 June 2015","Return on Equity (ROE)","-0.02"
"37","OKU","30 June 2015","Sales per Employee","-"
"38","OKU","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","OKU","30 June 2015","Spread","0.01"
"40","OKU","30 June 2015","Tangible Book-Value pS","-"
"41","OKU","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"42","OKU","30 June 2015","Working Capital pS","-"
"43","OKU","30 June 2015","Yesterday's Close","0.14"
"44","OKU","30 June 2015","1 Month","0.16"
"45","OKU","30 June 2015","1 Week","0.14"
"46","OKU","30 June 2015","1 Week","0.15"
"47","OKU","30 June 2015","1 Year","0.25"
"48","OKU","30 June 2015","1 Year","0.09"
"49","OKU","30 June 2015","3 Months","0.25"
"50","OKU","30 June 2015","3 Months","0.23"
"51","OKU","30 June 2015","3 Years","0.01"
"52","OKU","30 June 2015","3 Years","0.25"
"53","OKU","30 June 2015","5 Years","0.25"
"54","OKU","30 June 2015","5 Years","0.02"
"55","OKU","30 June 2015","6 Months","0.25"
"56","OKU","30 June 2015","6 Months","0.08"
"57","OKU","30 June 2015","Period †","High"
"58","OKU","30 June 2015","Period †","Open"
"59","OKU","30 June 2015","","1 year"
"60","OKU","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","OKU","30 June 2015","CFO growth","-"
"62","OKU","30 June 2015","Diluted continuous EPS growth","-"
"63","OKU","30 June 2015","Diluted EPS growth","-"
"64","OKU","30 June 2015","Dividend growth","-"
"65","OKU","30 June 2015","Equity per share growth","-0.13"
"66","OKU","30 June 2015","FCF growth","-"
"67","OKU","30 June 2015","Net income cont growth","-"
"68","OKU","30 June 2015","Net income growth","-"
"69","OKU","30 June 2015","OKU Growth Ratios (30 June 2015)",NA
"70","OKU","30 June 2015","Operating income growth","-"
"71","OKU","30 June 2015","Operating revenue growth","0.00"
"72","OKU","30 June 2015","Revenue growth","0.00"
"73","OKU","30 June 2015","Assets turnover","-"
"74","OKU","30 June 2015","Capital expenditure sales ratio","-"
"75","OKU","30 June 2015","Cash conversion cycle","-"
"76","OKU","30 June 2015","Days in inventory","-"
"77","OKU","30 June 2015","Days in payment","-"
"78","OKU","30 June 2015","Days in sales","-"
"79","OKU","30 June 2015","FCF net income ratio","-"
"80","OKU","30 June 2015","FCF sales ratio","-"
"81","OKU","30 June 2015","Fixed assets turnover","-"
"82","OKU","30 June 2015","Inventory turnover","-"
"83","OKU","30 June 2015","OKU Efficency Ratios (30 June 2015)",NA
"84","OKU","30 June 2015","Payable turnover","-"
"85","OKU","30 June 2015","Receivable turnover","-"
"86","OKU","30 June 2015","ROA","-0.01"
"87","OKU","30 June 2015","ROE","-0.02"
"88","OKU","30 June 2015","ROIC","-0.02"
"89","OKU","30 June 2015","Current ratio","3.65"
"90","OKU","30 June 2015","Debt equity ratio","-"
"91","OKU","30 June 2015","Debt total capital ratio","-"
"92","OKU","30 June 2015","Financial leverage","1.08"
"93","OKU","30 June 2015","OKU Financial Health Ratios (30 June 2015)",NA
"94","OKU","30 June 2015","Quick ratio","-"
"95","OKU","30 June 2015","Total debt to equity","-"
"96","OKU","30 June 2015","Avg gross margin","-"
"97","OKU","30 June 2015","Avg net profit","-"
"98","OKU","30 June 2015","Avg post tax margin","-"
"99","OKU","30 June 2015","Avg pre tax marginr","-"
"100","OKU","30 June 2015","Avg ret assets","-0.26"
"101","OKU","30 June 2015","Avg ret commonr","-0.31"
"102","OKU","30 June 2015","Avg ret invested capital","-0.31"
"103","OKU","30 June 2015","Growth ann capital spending","-0.00"
"104","OKU","30 June 2015","Growth ann gross profit","-"
"105","OKU","30 June 2015","OKU Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"106","OKU","30 June 2015","EBIT margin","-"
"107","OKU","30 June 2015","EBITDA margin","-"
"108","OKU","30 June 2015","EBT margin","-"
"109","OKU","30 June 2015","Gross margin","-"
"110","OKU","30 June 2015","Inc per employee tot ops","-"
"111","OKU","30 June 2015","Interest coverage","-"
"112","OKU","30 June 2015","Net margin","-"
"113","OKU","30 June 2015","Normalized net profit margin","-"
"114","OKU","30 June 2015","OKU Profitability Ratios (-)",NA
"115","OKU","30 June 2015","Operating margin","-"
"116","OKU","30 June 2015","Sales per employee","-"
"117","OKU","30 June 2015","Tax rate","-"
"118","OKU","30 June 2015","Book value per share","0.06"
"119","OKU","30 June 2015","Cash return","-0.08"
"120","OKU","30 June 2015","CF per share","-0.01"
"121","OKU","30 June 2015","Div payout 5 year","-"
"122","OKU","30 June 2015","Div payout tot ops","-"
"123","OKU","30 June 2015","Div rate","-"
"124","OKU","30 June 2015","Dividend yield","-"
"125","OKU","30 June 2015","Growth ann sales per share 5 ye...","-1.00"
"126","OKU","30 June 2015","OKU Valuation Ratios (30 June 2015)",NA
"127","OKU","30 June 2015","Payout ratio","0.00"
"128","OKU","30 June 2015","Price to book","2.02"
"129","OKU","30 June 2015","Price to cash flow","-10.50"
"130","OKU","30 June 2015","Price to EPS","-7.58"
"131","OKU","30 June 2015","Price to free cash flow","-4.80"
"132","OKU","30 June 2015","Price to sales","-"
"133","OKU","30 June 2015","Ratio PE 5 year high","-91.01"
"134","OKU","30 June 2015","Ratio PE 5 year low","-1.21"
"135","OKU","30 June 2015","Sales per share","0.00"
"136","OKU","30 June 2015","Sustainable growth rate","-0.17"
"137","OKU","30 June 2015","FTSE",NA
"138","OKU","30 June 2015","FTSE 100",NA
"139","OKU","30 June 2015","FX",NA
"140","OKU","30 June 2015","GBPUSD",NA
"141","OKU","30 June 2015","GKP",NA
"142","OKU","30 June 2015","Gulf Keyst..",NA
"143","OKU","30 June 2015","IOF",NA
"144","OKU","30 June 2015","Iofina",NA
"145","OKU","30 June 2015","LSE",NA
"146","OKU","30 June 2015","LSE",NA
"147","OKU","30 June 2015","LSE",NA
"148","OKU","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","OKU","30 June 2015","QPP",NA
"150","OKU","30 June 2015","Quindell",NA
"151","OKU","30 June 2015","UK Sterlin..",NA
"152","OKU","30 June 2015","UKX",NA
