"","ticker","date","variable","value"
"1","OVL","30 June 2015","Address","30 Richardson Street   Level 1, 6005"
"2","OVL","30 June 2015","City/Country:","West Perth, Australia"
"3","OVL","30 June 2015","Company sector name:","Basic Materials"
"4","OVL","30 June 2015","End of fiscal year:","30 June 2015"
"5","OVL","30 June 2015","Industry group name","Metals & Mining"
"6","OVL","30 June 2015","Industry name:","Gold"
"7","OVL","30 June 2015","Web address:","http://www.oroverde.com.au"
"8","OVL","30 June 2015","Assets Turnover","-"
"9","OVL","30 June 2015","Book-Value pS","-"
"10","OVL","30 June 2015","Cash Flow pS","-"
"11","OVL","30 June 2015","Cash pS","-"
"12","OVL","30 June 2015","Current Ratio","3.74"
"13","OVL","30 June 2015","Dividend pS (DPS)","-"
"14","OVL","30 June 2015","Dividend Yield","-"
"15","OVL","30 June 2015","Domestic Sales","-"
"16","OVL","30 June 2015","Earnings pS (EPS)","-"
"17","OVL","30 June 2015","EBITDA Margin","-"
"18","OVL","30 June 2015","Effective Tax Rate","-"
"19","OVL","30 June 2015","Foreign Sales","-"
"20","OVL","30 June 2015","Free Cash Flow pS","-"
"21","OVL","30 June 2015","Gross gearing","-"
"22","OVL","30 June 2015","Gross Profit Margin","-"
"23","OVL","30 June 2015","Interest Cover","-"
"24","OVL","30 June 2015","Latest Shares Outstanding","671.63"
"25","OVL","30 June 2015","Leverage Ratio (Assets/Equity)","1.25"
"26","OVL","30 June 2015","LT Debt/Total Capital","-"
"27","OVL","30 June 2015","Market Capitalisation","13.43"
"28","OVL","30 June 2015","Net Debt","-"
"29","OVL","30 June 2015","OVL KEY FIGURES (at previous day's close)",NA
"30","OVL","30 June 2015","PE Ratio","-"
"31","OVL","30 June 2015","Pre-Tax Profit Margin","-"
"32","OVL","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","OVL","30 June 2015","Return on Assets (ROA)","-2.88"
"34","OVL","30 June 2015","Return on Capital Invested (ROC...","-3.80"
"35","OVL","30 June 2015","Return on Equity (ROE)","-3.78"
"36","OVL","30 June 2015","Sales per Employee","-"
"37","OVL","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","OVL","30 June 2015","Spread","0.00"
"39","OVL","30 June 2015","Tangible Book-Value pS","-"
"40","OVL","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","OVL","30 June 2015","Working Capital pS","-"
"42","OVL","30 June 2015","Yesterday's Close","0.02"
"43","OVL","30 June 2015","1 Month","0.02"
"44","OVL","30 June 2015","1 Week","0.02"
"45","OVL","30 June 2015","1 Week","0.01"
