"","ticker","date","variable","value"
"1","PDN","30 June 2016","Address","502 Hay Street  Level 4, PO Box 201, 6008"
"2","PDN","30 June 2016","Auditor:","EY"
"3","PDN","30 June 2016","City/Country:","Subiaco, Australia"
"4","PDN","30 June 2016","Company sector name:","Basic Materials"
"5","PDN","30 June 2016","End of fiscal year:","30 June 2016"
"6","PDN","30 June 2016","Industry group name","Metals & Mining"
"7","PDN","30 June 2016","Industry name:","Industrial Metals & Minerals"
"8","PDN","30 June 2016","Web address:","http://www.paladinenergy.com.au"
"9","PDN","30 June 2016","Assets Turnover","4.27"
"10","PDN","30 June 2016","Book-Value pS","0.07"
"11","PDN","30 June 2016","Cash Flow pS","0.00"
"12","PDN","30 June 2016","Cash pS","0.03"
"13","PDN","30 June 2016","Current Ratio","0.44"
"14","PDN","30 June 2016","Dividend pS (DPS)","-"
"15","PDN","30 June 2016","Dividend Yield","-"
"16","PDN","30 June 2016","Domestic Sales","-"
"17","PDN","30 June 2016","Earnings pS (EPS)","-0.07"
"18","PDN","30 June 2016","EBITDA Margin","-"
"19","PDN","30 June 2016","Effective Tax Rate","-"
"20","PDN","30 June 2016","Foreign Sales","184.90"
"21","PDN","30 June 2016","Free Cash Flow pS","-0.00"
"22","PDN","30 June 2016","Gross gearing","83.91"
"23","PDN","30 June 2016","Gross Profit Margin","7.39"
"24","PDN","30 June 2016","Interest Cover","-5.05"
"25","PDN","30 June 2016","Latest Shares Outstanding","1,712.84"
"26","PDN","30 June 2016","Leverage Ratio (Assets/Equity)","6.21"
"27","PDN","30 June 2016","LT Debt/Total Capital","0.63"
"28","PDN","30 June 2016","Market Capitalisation","273.26"
"29","PDN","30 June 2016","Net Debt","604.60"
"30","PDN","30 June 2016","PDN KEY FIGURES (at previous day's close)",NA
"31","PDN","30 June 2016","PE Ratio","-2.25"
"32","PDN","30 June 2016","Pre-Tax Profit Margin","-"
"33","PDN","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"34","PDN","30 June 2016","Return on Assets (ROA)","-0.13"
"35","PDN","30 June 2016","Return on Capital Invested (ROC...","-0.15"
"36","PDN","30 June 2016","Return on Equity (ROE)","-0.64"
"37","PDN","30 June 2016","Sales per Employee","-"
"38","PDN","30 June 2016","Selling, General & Adm/tive (SG...","5.72"
"39","PDN","30 June 2016","Spread","-0.02"
"40","PDN","30 June 2016","Tangible Book-Value pS","0.39"
"41","PDN","30 June 2016","Total Debt/Equity (Gearing Rati...","3.37"
"42","PDN","30 June 2016","Working Capital pS","0.32"
"43","PDN","30 June 2016","Yesterday's Close","0.16"
"44","PDN","30 June 2016","1 Month","0.16"
"45","PDN","30 June 2016","1 Month","0.17"
"46","PDN","30 June 2016","1 Week","0.16"
"47","PDN","30 June 2016","1 Week","0.17"
"48","PDN","30 June 2016","1 Year","0.17"
"49","PDN","30 June 2016","1 Year","0.29"
"50","PDN","30 June 2016","3 Months","0.25"
"51","PDN","30 June 2016","3 Months","0.20"
"52","PDN","30 June 2016","3 Years","0.66"
"53","PDN","30 June 2016","3 Years","0.49"
"54","PDN","30 June 2016","5 Years","2.01"
"55","PDN","30 June 2016","5 Years","1.15"
"56","PDN","30 June 2016","6 Months","0.27"
"57","PDN","30 June 2016","6 Months","0.26"
"58","PDN","30 June 2016","Period †","High"
"59","PDN","30 June 2016","Period †","Open"
