"","ticker","date","variable","value"
"1","PEC","30 June 2015","Address","Level 11  499 St Kilda Road, 3004"
"2","PEC","30 June 2015","Auditor:","William Buck Audit (Vic) Pty Ltd"
"3","PEC","30 June 2015","City/Country:","Melbourne, Australia"
"4","PEC","30 June 2015","Company sector name:","Basic Materials"
"5","PEC","30 June 2015","End of fiscal year:","30 June 2015"
"6","PEC","30 June 2015","Industry group name","Coal"
"7","PEC","30 June 2015","Industry name:","Coal"
"8","PEC","30 June 2015","Web address:","http://www.perpetualresources.com.au"
"9","PEC","30 June 2015","Assets Turnover","-"
"10","PEC","30 June 2015","Book-Value pS","0.01"
"11","PEC","30 June 2015","Cash Flow pS","-0.00"
"12","PEC","30 June 2015","Cash pS","0.00"
"13","PEC","30 June 2015","Current Ratio","0.01"
"14","PEC","30 June 2015","Dividend pS (DPS)","-"
"15","PEC","30 June 2015","Dividend Yield","-"
"16","PEC","30 June 2015","Domestic Sales","-"
"17","PEC","30 June 2015","Earnings pS (EPS)","-0.03"
"18","PEC","30 June 2015","EBITDA Margin","-"
"19","PEC","30 June 2015","Effective Tax Rate","-"
"20","PEC","30 June 2015","Foreign Sales","-"
"21","PEC","30 June 2015","Free Cash Flow pS","-0.01"
"22","PEC","30 June 2015","Gross gearing","59.27"
"23","PEC","30 June 2015","Gross Profit Margin","-"
"24","PEC","30 June 2015","Interest Cover","-29.33"
"25","PEC","30 June 2015","Latest Shares Outstanding","66.92"
"26","PEC","30 June 2015","Leverage Ratio (Assets/Equity)","2.46"
"27","PEC","30 June 2015","LT Debt/Total Capital","-"
"28","PEC","30 June 2015","Market Capitalisation","2.13"
"29","PEC","30 June 2015","Net Debt","0.97"
"30","PEC","30 June 2015","PE Ratio","-1.11"
"31","PEC","30 June 2015","PEC KEY FIGURES (at previous day's close)",NA
"32","PEC","30 June 2015","Pre-Tax Profit Margin","-"
"33","PEC","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","PEC","30 June 2015","Return on Assets (ROA)","-0.81"
"35","PEC","30 June 2015","Return on Capital Invested (ROC...","-0.87"
"36","PEC","30 June 2015","Return on Equity (ROE)","-1.40"
"37","PEC","30 June 2015","Sales per Employee","-"
"38","PEC","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","PEC","30 June 2015","Spread","0.03"
"40","PEC","30 June 2015","Tangible Book-Value pS","0.03"
"41","PEC","30 June 2015","Total Debt/Equity (Gearing Rati...","1.21"
"42","PEC","30 June 2015","Working Capital pS","0.01"
"43","PEC","30 June 2015","Yesterday's Close","0.03"
"44","PEC","30 June 2015","1 Month","0.04"
"45","PEC","30 June 2015","1 Week","0.03"
"46","PEC","30 June 2015","1 Year","0.06"
"47","PEC","30 June 2015","3 Months","0.03"
"48","PEC","30 June 2015","3 Months","0.04"
"49","PEC","30 June 2015","3 Years","0.10"
"50","PEC","30 June 2015","3 Years","0.07"
"51","PEC","30 June 2015","5 Years","0.22"
"52","PEC","30 June 2015","5 Years","0.21"
"53","PEC","30 June 2015","6 Months","0.06"
"54","PEC","30 June 2015","6 Months","0.05"
"55","PEC","30 June 2015","Period †","High"
"56","PEC","30 June 2015","Period †","Open"
"57","PEC","30 June 2015","","1 year"
"58","PEC","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","PEC","30 June 2015","CFO growth","-"
"60","PEC","30 June 2015","Diluted continuous EPS growth","-"
"61","PEC","30 June 2015","Diluted EPS growth","-"
"62","PEC","30 June 2015","Dividend growth","-"
"63","PEC","30 June 2015","Equity per share growth","-0.73"
"64","PEC","30 June 2015","FCF growth","-"
"65","PEC","30 June 2015","Net income cont growth","-"
"66","PEC","30 June 2015","Net income growth","-"
"67","PEC","30 June 2015","Operating income growth","-"
