"","ticker","date","variable","value"
"1","PEN","30 June 2015","Address","Unit 17, Level 2  100 Railway Road, 6008"
"2","PEN","30 June 2015","City/Country:","Subiaco, Australia"
"3","PEN","30 June 2015","Company sector name:","Basic Materials"
"4","PEN","30 June 2015","End of fiscal year:","30 June 2015"
"5","PEN","30 June 2015","Industry group name","Metals & Mining"
"6","PEN","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","PEN","30 June 2015","Web address:","http://www.peninsulaminerals.com.au"
"8","PEN","30 June 2015","Assets Turnover","-"
"9","PEN","30 June 2015","Book-Value pS","-"
"10","PEN","30 June 2015","Cash Flow pS","-"
"11","PEN","30 June 2015","Cash pS","-"
"12","PEN","30 June 2015","Current Ratio","9.02"
"13","PEN","30 June 2015","Dividend pS (DPS)","-"
"14","PEN","30 June 2015","Dividend Yield","-"
"15","PEN","30 June 2015","Domestic Sales","-"
"16","PEN","30 June 2015","Earnings pS (EPS)","-"
"17","PEN","30 June 2015","EBITDA Margin","-"
"18","PEN","30 June 2015","Effective Tax Rate","-"
"19","PEN","30 June 2015","Foreign Sales","-"
"20","PEN","30 June 2015","Free Cash Flow pS","-"
"21","PEN","30 June 2015","Gross gearing","-"
"22","PEN","30 June 2015","Gross Profit Margin","-"
"23","PEN","30 June 2015","Interest Cover","-"
"24","PEN","30 June 2015","Latest Shares Outstanding","177.40"
"25","PEN","30 June 2015","Leverage Ratio (Assets/Equity)","1.04"
"26","PEN","30 June 2015","LT Debt/Total Capital","0.01"
"27","PEN","30 June 2015","Market Capitalisation","102.89"
"28","PEN","30 June 2015","Net Debt","-"
"29","PEN","30 June 2015","PE Ratio","-"
"30","PEN","30 June 2015","PEN KEY FIGURES (at previous day's close)",NA
"31","PEN","30 June 2015","Pre-Tax Profit Margin","-"
"32","PEN","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","PEN","30 June 2015","Return on Assets (ROA)","-0.04"
"34","PEN","30 June 2015","Return on Capital Invested (ROC...","-0.04"
"35","PEN","30 June 2015","Return on Equity (ROE)","-0.04"
"36","PEN","30 June 2015","Sales per Employee","-"
"37","PEN","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","PEN","30 June 2015","Spread","0.12"
"39","PEN","30 June 2015","Tangible Book-Value pS","-"
"40","PEN","30 June 2015","Total Debt/Equity (Gearing Rati...","0.01"
"41","PEN","30 June 2015","Working Capital pS","-"
"42","PEN","30 June 2015","Yesterday's Close","0.58"
"43","PEN","30 June 2015","1 Month","0.62"
"44","PEN","30 June 2015","1 Month","0.64"
"45","PEN","30 June 2015","1 Week","0.62"
"46","PEN","30 June 2015","1 Week","0.61"
"47","PEN","30 June 2015","1 Year","1.45"
"48","PEN","30 June 2015","1 Year","1.19"
"49","PEN","30 June 2015","3 Months","0.80"
"50","PEN","30 June 2015","3 Months","0.54"
"51","PEN","30 June 2015","3 Years","1.45"
"52","PEN","30 June 2015","3 Years","0.03"
"53","PEN","30 June 2015","5 Years","1.45"
"54","PEN","30 June 2015","5 Years","0.04"
"55","PEN","30 June 2015","6 Months","0.94"
"56","PEN","30 June 2015","Period †","High"
"57","PEN","30 June 2015","Period †","Open"
"58","PEN","30 June 2015","","1 year"
"59","PEN","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","PEN","30 June 2015","CFO growth","-"
"61","PEN","30 June 2015","Diluted continuous EPS growth","-"
"62","PEN","30 June 2015","Diluted EPS growth","-"
"63","PEN","30 June 2015","Dividend growth","-"
"64","PEN","30 June 2015","Equity per share growth","-0.07"
"65","PEN","30 June 2015","FCF growth","-"
"66","PEN","30 June 2015","Net income cont growth","-"
"67","PEN","30 June 2015","Net income growth","-"
"68","PEN","30 June 2015","Operating income growth","-"
"69","PEN","30 June 2015","Operating revenue growth","0.00"
