"","ticker","date","variable","value"
"1","PLS","30 June 2016","Address","Suite 9  1200 Hay Street, 6005"
"2","PLS","30 June 2016","City/Country:","West Perth, Australia"
"3","PLS","30 June 2016","Company sector name:","Basic Materials"
"4","PLS","30 June 2016","End of fiscal year:","30 June 2016"
"5","PLS","30 June 2016","Industry group name","Metals & Mining"
"6","PLS","30 June 2016","Industry name:","Industrial Metals & Minerals"
"7","PLS","30 June 2016","Web address:","http://www.pilbaraminerals.com.au"
"8","PLS","30 June 2016","Assets Turnover","-"
"9","PLS","30 June 2016","Book-Value pS","-"
"10","PLS","30 June 2016","Cash Flow pS","-"
"11","PLS","30 June 2016","Cash pS","-"
"12","PLS","30 June 2016","Current Ratio","24.83"
"13","PLS","30 June 2016","Dividend pS (DPS)","-"
"14","PLS","30 June 2016","Dividend Yield","-"
"15","PLS","30 June 2016","Domestic Sales","-"
"16","PLS","30 June 2016","Earnings pS (EPS)","-"
"17","PLS","30 June 2016","EBITDA Margin","-"
"18","PLS","30 June 2016","Effective Tax Rate","-"
"19","PLS","30 June 2016","Foreign Sales","-"
"20","PLS","30 June 2016","Free Cash Flow pS","-"
"21","PLS","30 June 2016","Gross gearing","-"
"22","PLS","30 June 2016","Gross Profit Margin","-"
"23","PLS","30 June 2016","Interest Cover","-"
"24","PLS","30 June 2016","Latest Shares Outstanding","1,150.36"
"25","PLS","30 June 2016","Leverage Ratio (Assets/Equity)","1.04"
"26","PLS","30 June 2016","LT Debt/Total Capital","0.00"
"27","PLS","30 June 2016","Market Capitalisation","531.47"
"28","PLS","30 June 2016","Net Debt","-"
"29","PLS","30 June 2016","PE Ratio","-"
"30","PLS","30 June 2016","PLS KEY FIGURES (at previous day's close)",NA
"31","PLS","30 June 2016","Pre-Tax Profit Margin","-"
"32","PLS","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","PLS","30 June 2016","Return on Assets (ROA)","-1.00"
"34","PLS","30 June 2016","Return on Capital Invested (ROC...","-1.00"
"35","PLS","30 June 2016","Return on Equity (ROE)","-1.07"
"36","PLS","30 June 2016","Sales per Employee","-"
"37","PLS","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","PLS","30 June 2016","Spread","0.01"
"39","PLS","30 June 2016","Tangible Book-Value pS","-"
"40","PLS","30 June 2016","Total Debt/Equity (Gearing Rati...","0.00"
"41","PLS","30 June 2016","Working Capital pS","-"
"42","PLS","30 June 2016","Yesterday's Close","0.46"
"43","PLS","30 June 2016","1 Month","0.59"
"44","PLS","30 June 2016","1 Month","0.54"
"45","PLS","30 June 2016","1 Week","0.59"
"46","PLS","30 June 2016","1 Week","0.57"
"47","PLS","30 June 2016","1 Year","0.87"
"48","PLS","30 June 2016","1 Year","0.25"
"49","PLS","30 June 2016","3 Months","0.74"
"50","PLS","30 June 2016","3 Months","0.73"
"51","PLS","30 June 2016","3 Years","0.01"
"52","PLS","30 June 2016","3 Years","0.87"
"53","PLS","30 June 2016","5 Years","0.87"
"54","PLS","30 June 2016","5 Years","0.05"
"55","PLS","30 June 2016","6 Months","0.87"
"56","PLS","30 June 2016","6 Months","0.40"
"57","PLS","30 June 2016","Period †","High"
"58","PLS","30 June 2016","Period †","Open"
"59","PLS","30 June 2016","","1 year"
"60","PLS","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","PLS","30 June 2016","CFO growth","-"
"62","PLS","30 June 2016","Diluted continuous EPS growth","-"
"63","PLS","30 June 2016","Diluted EPS growth","-"
"64","PLS","30 June 2016","Dividend growth","-"
"65","PLS","30 June 2016","Equity per share growth","9.37"
"66","PLS","30 June 2016","FCF growth","-"
"67","PLS","30 June 2016","Net income cont growth","-"
"68","PLS","30 June 2016","Net income growth","-"
"69","PLS","30 June 2016","Operating income growth","-"
"70","PLS","30 June 2016","Operating revenue growth","0.00"
"71","PLS","30 June 2016","PLS Growth Ratios (30 June 2016)",NA
"72","PLS","30 June 2016","Revenue growth","0.00"
"73","PLS","30 June 2016","Assets turnover","-"
"74","PLS","30 June 2016","Capital expenditure sales ratio","-"
"75","PLS","30 June 2016","Cash conversion cycle","-"
"76","PLS","30 June 2016","Days in inventory","-"
"77","PLS","30 June 2016","Days in payment","-"
"78","PLS","30 June 2016","Days in sales","-"
"79","PLS","30 June 2016","FCF net income ratio","-"
"80","PLS","30 June 2016","FCF sales ratio","-"
"81","PLS","30 June 2016","Fixed assets turnover","-"
"82","PLS","30 June 2016","Inventory turnover","-"
"83","PLS","30 June 2016","Payable turnover","-"
"84","PLS","30 June 2016","PLS Efficency Ratios (30 June 2016)",NA
"85","PLS","30 June 2016","Receivable turnover","-"
"86","PLS","30 June 2016","ROA","-1.00"
"87","PLS","30 June 2016","ROE","-1.07"
"88","PLS","30 June 2016","ROIC","-1.00"
"89","PLS","30 June 2016","Current ratio","24.83"
"90","PLS","30 June 2016","Debt equity ratio","0.00"
"91","PLS","30 June 2016","Debt total capital ratio","0.00"
"92","PLS","30 June 2016","Financial leverage","1.04"
"93","PLS","30 June 2016","PLS Financial Health Ratios (30 June 2016)",NA
"94","PLS","30 June 2016","Quick ratio","24.82"
"95","PLS","30 June 2016","Total debt to equity","0.00"
"96","PLS","30 June 2016","Avg gross margin","-"
"97","PLS","30 June 2016","Avg net profit","-"
"98","PLS","30 June 2016","Avg post tax margin","-"
"99","PLS","30 June 2016","Avg pre tax marginr","-"
"100","PLS","30 June 2016","Avg ret assets","-0.70"
"101","PLS","30 June 2016","Avg ret commonr","-0.91"
"102","PLS","30 June 2016","Avg ret invested capital","-0.73"
"103","PLS","30 June 2016","Growth ann capital spending","0.60"
"104","PLS","30 June 2016","Growth ann gross profit","-"
"105","PLS","30 June 2016","PLS Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"106","PLS","30 June 2016","EBIT margin","-"
"107","PLS","30 June 2016","EBITDA margin","-"
"108","PLS","30 June 2016","EBT margin","-"
"109","PLS","30 June 2016","Gross margin","-"
"110","PLS","30 June 2016","Inc per employee tot ops","-"
"111","PLS","30 June 2016","Interest coverage","-22.58"
"112","PLS","30 June 2016","Net margin","-"
"113","PLS","30 June 2016","Normalized net profit margin","-"
"114","PLS","30 June 2016","Operating margin","-"
"115","PLS","30 June 2016","PLS Profitability Ratios (30 June 2016)",NA
"116","PLS","30 June 2016","Sales per employee","-"
"117","PLS","30 June 2016","Tax rate","-"
"118","PLS","30 June 2016","Book value per share","0.00"
"119","PLS","30 June 2016","Cash return","-0.00"
"120","PLS","30 June 2016","CF per share","-0.00"
"121","PLS","30 June 2016","Div payout 5 year","-"
"122","PLS","30 June 2016","Div payout tot ops","-"
"123","PLS","30 June 2016","Div rate","-"
"124","PLS","30 June 2016","Dividend yield","-"
"125","PLS","30 June 2016","Growth ann sales per share 5 ye...","-"
"126","PLS","30 June 2016","Payout ratio","0.00"
"127","PLS","30 June 2016","PLS Valuation Ratios (30 June 2016)",NA
"128","PLS","30 June 2016","Price to book","129.87"
"129","PLS","30 June 2016","Price to cash flow","-243.90"
"130","PLS","30 June 2016","Price to EPS","-65.79"
"131","PLS","30 June 2016","Price to free cash flow","-178.57"
"132","PLS","30 June 2016","Price to sales","-"
"133","PLS","30 June 2016","Ratio PE 5 year high","-93.00"
"134","PLS","30 June 2016","Ratio PE 5 year low","-0.86"
"135","PLS","30 June 2016","Sales per share","0.00"
"136","PLS","30 June 2016","Sustainable growth rate","-1.41"
"137","PLS","30 June 2016","FTSE",NA
"138","PLS","30 June 2016","FTSE 100",NA
"139","PLS","30 June 2016","FX",NA
"140","PLS","30 June 2016","GBPUSD",NA
"141","PLS","30 June 2016","GKP",NA
"142","PLS","30 June 2016","Gulf Keyst..",NA
"143","PLS","30 June 2016","IOF",NA
"144","PLS","30 June 2016","Iofina",NA
"145","PLS","30 June 2016","LSE",NA
"146","PLS","30 June 2016","LSE",NA
"147","PLS","30 June 2016","LSE",NA
"148","PLS","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","PLS","30 June 2016","QPP",NA
"150","PLS","30 June 2016","Quindell",NA
"151","PLS","30 June 2016","UK Sterlin..",NA
"152","PLS","30 June 2016","UKX",NA
