"","ticker","date","variable","value"
"1","PNR","30 June 2015","Address","18-32 Parliament Place  West Perth, 6005"
"2","PNR","30 June 2015","City/Country:","Perth, Australia"
"3","PNR","30 June 2015","Company sector name:","Basic Materials"
"4","PNR","30 June 2015","End of fiscal year:","30 June 2015"
"5","PNR","30 June 2015","Industry group name","Metals & Mining"
"6","PNR","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","PNR","30 June 2015","Web address:","http://www.niugini.com.au"
"8","PNR","30 June 2015","Assets Turnover","-"
"9","PNR","30 June 2015","Book-Value pS","-"
"10","PNR","30 June 2015","Cash Flow pS","-"
"11","PNR","30 June 2015","Cash pS","-"
"12","PNR","30 June 2015","Current Ratio","1.21"
"13","PNR","30 June 2015","Dividend pS (DPS)","-"
"14","PNR","30 June 2015","Dividend Yield","-"
"15","PNR","30 June 2015","Domestic Sales","-"
"16","PNR","30 June 2015","Earnings pS (EPS)","-"
"17","PNR","30 June 2015","EBITDA Margin","-"
"18","PNR","30 June 2015","Effective Tax Rate","-"
"19","PNR","30 June 2015","Foreign Sales","-"
"20","PNR","30 June 2015","Free Cash Flow pS","-"
"21","PNR","30 June 2015","Gross gearing","-"
"22","PNR","30 June 2015","Gross Profit Margin","-"
"23","PNR","30 June 2015","Interest Cover","-"
"24","PNR","30 June 2015","Latest Shares Outstanding","738.87"
"25","PNR","30 June 2015","Leverage Ratio (Assets/Equity)","2.12"
"26","PNR","30 June 2015","LT Debt/Total Capital","-"
"27","PNR","30 June 2015","Market Capitalisation","114.52"
"28","PNR","30 June 2015","Net Debt","-"
"29","PNR","30 June 2015","PE Ratio","-"
"30","PNR","30 June 2015","PNR KEY FIGURES (at previous day's close)",NA
"31","PNR","30 June 2015","Pre-Tax Profit Margin","-"
"32","PNR","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","PNR","30 June 2015","Return on Assets (ROA)","-0.17"
"34","PNR","30 June 2015","Return on Capital Invested (ROC...","-0.28"
"35","PNR","30 June 2015","Return on Equity (ROE)","-0.27"
"36","PNR","30 June 2015","Sales per Employee","-"
"37","PNR","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","PNR","30 June 2015","Spread","0.00"
"39","PNR","30 June 2015","Tangible Book-Value pS","-"
"40","PNR","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","PNR","30 June 2015","Working Capital pS","-"
"42","PNR","30 June 2015","Yesterday's Close","0.16"
"43","PNR","30 June 2015","1 Month","0.17"
"44","PNR","30 June 2015","1 Month","0.19"
"45","PNR","30 June 2015","1 Week","0.16"
"46","PNR","30 June 2015","1 Week","0.17"
"47","PNR","30 June 2015","1 Year","0.20"
"48","PNR","30 June 2015","1 Year","0.06"
"49","PNR","30 June 2015","3 Months","0.20"
"50","PNR","30 June 2015","3 Months","0.13"
"51","PNR","30 June 2015","3 Years","0.20"
"52","PNR","30 June 2015","3 Years","0.08"
"53","PNR","30 June 2015","5 Years","0.45"
"54","PNR","30 June 2015","5 Years","0.35"
"55","PNR","30 June 2015","6 Months","0.20"
