"","ticker","date","variable","value"
"1","POS","30 June 2016","Address","Unit 8, Chruchill Court  331-335 Hay Street, 6008"
"2","POS","30 June 2016","City/Country:","Subiaco, Australia"
"3","POS","30 June 2016","Company sector name:","Basic Materials"
"4","POS","30 June 2016","End of fiscal year:","30 June 2016"
"5","POS","30 June 2016","Industry group name","Metals & Mining"
"6","POS","30 June 2016","Industry name:","Industrial Metals & Minerals"
"7","POS","30 June 2016","Web address:","http://www.poseidon-nickel.com.au"
"8","POS","30 June 2016","Assets Turnover","-"
"9","POS","30 June 2016","Book-Value pS","-"
"10","POS","30 June 2016","Cash Flow pS","-"
"11","POS","30 June 2016","Cash pS","-"
"12","POS","30 June 2016","Current Ratio","0.73"
"13","POS","30 June 2016","Dividend pS (DPS)","-"
"14","POS","30 June 2016","Dividend Yield","-"
"15","POS","30 June 2016","Domestic Sales","-"
"16","POS","30 June 2016","Earnings pS (EPS)","-"
"17","POS","30 June 2016","EBITDA Margin","-"
"18","POS","30 June 2016","Effective Tax Rate","-"
"19","POS","30 June 2016","Foreign Sales","-"
"20","POS","30 June 2016","Free Cash Flow pS","-"
"21","POS","30 June 2016","Gross gearing","-"
"22","POS","30 June 2016","Gross Profit Margin","-"
"23","POS","30 June 2016","Interest Cover","-"
"24","POS","30 June 2016","Latest Shares Outstanding","829.72"
"25","POS","30 June 2016","Leverage Ratio (Assets/Equity)","8.15"
"26","POS","30 June 2016","LT Debt/Total Capital","0.64"
"27","POS","30 June 2016","Market Capitalisation","47.29"
"28","POS","30 June 2016","Net Debt","-"
"29","POS","30 June 2016","PE Ratio","-"
"30","POS","30 June 2016","POS KEY FIGURES (at previous day's close)",NA
"31","POS","30 June 2016","Pre-Tax Profit Margin","-"
"32","POS","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","POS","30 June 2016","Return on Assets (ROA)","-0.42"
"34","POS","30 June 2016","Return on Capital Invested (ROC...","-0.97"
"35","POS","30 June 2016","Return on Equity (ROE)","-1.54"
"36","POS","30 June 2016","Sales per Employee","-"
"37","POS","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","POS","30 June 2016","Spread","0.00"
"39","POS","30 June 2016","Tangible Book-Value pS","-"
"40","POS","30 June 2016","Total Debt/Equity (Gearing Rati...","1.79"
"41","POS","30 June 2016","Working Capital pS","-"
"42","POS","30 June 2016","Yesterday's Close","0.06"
"43","POS","30 June 2016","1 Month","0.06"
"44","POS","30 June 2016","1 Month","0.05"
"45","POS","30 June 2016","1 Week","0.06"
"46","POS","30 June 2016","1 Week","0.05"
"47","POS","30 June 2016","1 Year","0.13"
"48","POS","30 June 2016","1 Year","0.05"
"49","POS","30 June 2016","3 Months","0.08"
"50","POS","30 June 2016","3 Months","0.07"
"51","POS","30 June 2016","3 Years","0.27"
"52","POS","30 June 2016","3 Years","0.12"
"53","POS","30 June 2016","5 Years","0.30"
"54","POS","30 June 2016","5 Years","0.17"
"55","POS","30 June 2016","6 Months","0.13"
"56","POS","30 June 2016","6 Months","0.04"
"57","POS","30 June 2016","Period †","High"
"58","POS","30 June 2016","Period †","Open"
"59","POS","30 June 2016","","1 year"
"60","POS","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","POS","30 June 2016","CFO growth","-"
"62","POS","30 June 2016","Diluted continuous EPS growth","-"
"63","POS","30 June 2016","Diluted EPS growth","-"
"64","POS","30 June 2016","Dividend growth","-"
"65","POS","30 June 2016","Equity per share growth","-0.82"
"66","POS","30 June 2016","FCF growth","-"
"67","POS","30 June 2016","Net income cont growth","-"
"68","POS","30 June 2016","Net income growth","-"
"69","POS","30 June 2016","Operating income growth","-"
"70","POS","30 June 2016","Operating revenue growth","0.00"
"71","POS","30 June 2016","POS Growth Ratios (30 June 2016)",NA
"72","POS","30 June 2016","Revenue growth","0.00"
"73","POS","30 June 2016","Assets turnover","-"
"74","POS","30 June 2016","Capital expenditure sales ratio","-"
"75","POS","30 June 2016","Cash conversion cycle","-"
"76","POS","30 June 2016","Days in inventory","-"
"77","POS","30 June 2016","Days in payment","-"
"78","POS","30 June 2016","Days in sales","-"
"79","POS","30 June 2016","FCF net income ratio","-"
"80","POS","30 June 2016","FCF sales ratio","-"
"81","POS","30 June 2016","Fixed assets turnover","-"
"82","POS","30 June 2016","Inventory turnover","-"
"83","POS","30 June 2016","Payable turnover","-"
"84","POS","30 June 2016","POS Efficency Ratios (30 June 2016)",NA
"85","POS","30 June 2016","Receivable turnover","-"
"86","POS","30 June 2016","ROA","-0.42"
"87","POS","30 June 2016","ROE","-1.54"
"88","POS","30 June 2016","ROIC","-0.97"
"89","POS","30 June 2016","Current ratio","0.73"
"90","POS","30 June 2016","Debt equity ratio","1.79"
"91","POS","30 June 2016","Debt total capital ratio","0.64"
"92","POS","30 June 2016","Financial leverage","8.15"
"93","POS","30 June 2016","POS Financial Health Ratios (30 June 2016)",NA
"94","POS","30 June 2016","Quick ratio","0.73"
"95","POS","30 June 2016","Total debt to equity","1.79"
"96","POS","30 June 2016","Avg gross margin","-"
"97","POS","30 June 2016","Avg net profit","-"
"98","POS","30 June 2016","Avg post tax margin","-"
"99","POS","30 June 2016","Avg pre tax marginr","-"
"100","POS","30 June 2016","Avg ret assets","-0.18"
"101","POS","30 June 2016","Avg ret commonr","-0.50"
