"","ticker","date","variable","value"
"1","RGP","30 June 2016","Address","17 Denninup Way, 6090"
"2","RGP","30 June 2016","Auditor:","Grant Thornton"
"3","RGP","30 June 2016","City/Country:","Malaga, Australia"
"4","RGP","30 June 2016","Company sector name:","Consumer Defensive"
"5","RGP","30 June 2016","End of fiscal year:","30 June 2016"
"6","RGP","30 June 2016","Industry group name","Beverages - Non-Alcoholic"
"7","RGP","30 June 2016","Industry name:","Beverages - Soft Drinks"
"8","RGP","30 June 2016","Web address:","http://www.refreshgroup.com.au"
"9","RGP","30 June 2016","Assets Turnover","0.89"
"10","RGP","30 June 2016","Book-Value pS","0.04"
"11","RGP","30 June 2016","Cash Flow pS","0.00"
"12","RGP","30 June 2016","Cash pS","0.01"
"13","RGP","30 June 2016","Current Ratio","3.14"
"14","RGP","30 June 2016","Dividend pS (DPS)","0.00"
"15","RGP","30 June 2016","Dividend Yield","2.10"
"16","RGP","30 June 2016","Domestic Sales","-"
"17","RGP","30 June 2016","Earnings pS (EPS)","0.00"
"18","RGP","30 June 2016","EBITDA Margin","5.50"
"19","RGP","30 June 2016","Effective Tax Rate","-"
"20","RGP","30 June 2016","Foreign Sales","-"
"21","RGP","30 June 2016","Free Cash Flow pS","0.00"
"22","RGP","30 June 2016","Gross gearing","19.14"
"23","RGP","30 June 2016","Gross Profit Margin","54.46"
"24","RGP","30 June 2016","Interest Cover","38.91"
"25","RGP","30 June 2016","Latest Shares Outstanding","133.46"
"26","RGP","30 June 2016","Leverage Ratio (Assets/Equity)","1.24"
"27","RGP","30 June 2016","LT Debt/Total Capital","0.04"
"28","RGP","30 June 2016","Market Capitalisation","7.60"
"29","RGP","30 June 2016","Net Debt","0.08"
"30","RGP","30 June 2016","PE Ratio","226.67"
"31","RGP","30 June 2016","Pre-Tax Profit Margin","0.60"
"32","RGP","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"33","RGP","30 June 2016","Return on Assets (ROA)","0.01"
"34","RGP","30 June 2016","Return on Capital Invested (ROC...","0.00"
"35","RGP","30 June 2016","Return on Equity (ROE)","0.01"
"36","RGP","30 June 2016","RGP KEY FIGURES (at previous day's close)",NA
"37","RGP","30 June 2016","Sales per Employee","-"
"38","RGP","30 June 2016","Selling, General & Adm/tive (SG...","73.48"
"39","RGP","30 June 2016","Spread","0.01"
"40","RGP","30 June 2016","Tangible Book-Value pS","0.02"
"41","RGP","30 June 2016","Total Debt/Equity (Gearing Rati...","0.06"
"42","RGP","30 June 2016","Working Capital pS","0.04"
"43","RGP","30 June 2016","Yesterday's Close","0.07"
"44","RGP","30 June 2016","1 Month","0.06"
"45","RGP","30 June 2016","1 Month","0.07"
"46","RGP","30 June 2016","1 Week","0.07"
"47","RGP","30 June 2016","1 Year","0.09"
"48","RGP","30 June 2016","1 Year","0.05"
"49","RGP","30 June 2016","3 Months","0.07"
"50","RGP","30 June 2016","3 Years","0.02"
"51","RGP","30 June 2016","3 Years","0.09"
"52","RGP","30 June 2016","5 Years","0.04"
"53","RGP","30 June 2016","5 Years","0.09"
"54","RGP","30 June 2016","6 Months","0.07"
"55","RGP","30 June 2016","Period †","High"
"56","RGP","30 June 2016","Period †","Open"
"57","RGP","30 June 2016","","1 year"
"58","RGP","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","RGP","30 June 2016","CFO growth","-0.29"
"60","RGP","30 June 2016","Diluted continuous EPS growth","-"
"61","RGP","30 June 2016","Diluted EPS growth","-"
"62","RGP","30 June 2016","Dividend growth","0.00"
"63","RGP","30 June 2016","Equity per share growth","-0.02"
"64","RGP","30 June 2016","FCF growth","-"
"65","RGP","30 June 2016","Net income cont growth","-"
"66","RGP","30 June 2016","Net income growth","-"
"67","RGP","30 June 2016","Operating income growth","-"
"68","RGP","30 June 2016","Operating revenue growth","0.02"
"69","RGP","30 June 2016","Revenue growth","0.02"
"70","RGP","30 June 2016","RGP Growth Ratios (30 June 2016)",NA
"71","RGP","30 June 2016","Amortization","6,000.00"
