"","ticker","date","variable","value"
"1","RVR","30 June 2015","Address","231 Adelaide Terrace  Level 7, 6000"
"2","RVR","30 June 2015","City/Country:","Perth, Australia"
"3","RVR","30 June 2015","Company sector name:","Basic Materials"
"4","RVR","30 June 2015","End of fiscal year:","30 June 2015"
"5","RVR","30 June 2015","Industry group name","Metals & Mining"
"6","RVR","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","RVR","30 June 2015","Web address:","http://www.redriverresources.com.au"
"8","RVR","30 June 2015","Assets Turnover","-"
"9","RVR","30 June 2015","Book-Value pS","-"
"10","RVR","30 June 2015","Cash Flow pS","-"
"11","RVR","30 June 2015","Cash pS","-"
"12","RVR","30 June 2015","Current Ratio","0.93"
"13","RVR","30 June 2015","Dividend pS (DPS)","-"
"14","RVR","30 June 2015","Dividend Yield","-"
"15","RVR","30 June 2015","Domestic Sales","-"
"16","RVR","30 June 2015","Earnings pS (EPS)","-"
"17","RVR","30 June 2015","EBITDA Margin","-"
"18","RVR","30 June 2015","Effective Tax Rate","-"
"19","RVR","30 June 2015","Foreign Sales","-"
"20","RVR","30 June 2015","Free Cash Flow pS","-"
"21","RVR","30 June 2015","Gross gearing","-"
"22","RVR","30 June 2015","Gross Profit Margin","-"
"23","RVR","30 June 2015","Interest Cover","-"
"24","RVR","30 June 2015","Latest Shares Outstanding","302.84"
"25","RVR","30 June 2015","Leverage Ratio (Assets/Equity)","2.24"
"26","RVR","30 June 2015","LT Debt/Total Capital","-"
"27","RVR","30 June 2015","Market Capitalisation","56.02"
"28","RVR","30 June 2015","Net Debt","-"
"29","RVR","30 June 2015","PE Ratio","-"
"30","RVR","30 June 2015","Pre-Tax Profit Margin","-"
"31","RVR","30 June 2015","Research & Devlopment (R&D) as ...","-"
"32","RVR","30 June 2015","Return on Assets (ROA)","-0.44"
"33","RVR","30 June 2015","Return on Capital Invested (ROC...","-0.99"
"34","RVR","30 June 2015","Return on Equity (ROE)","-0.97"
"35","RVR","30 June 2015","RVR KEY FIGURES (at previous day's close)",NA
"36","RVR","30 June 2015","Sales per Employee","-"
"37","RVR","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","RVR","30 June 2015","Spread","0.02"
"39","RVR","30 June 2015","Tangible Book-Value pS","-"
"40","RVR","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","RVR","30 June 2015","Working Capital pS","-"
"42","RVR","30 June 2015","Yesterday's Close","0.19"
"43","RVR","30 June 2015","1 Month","0.19"
"44","RVR","30 June 2015","1 Month","0.21"
"45","RVR","30 June 2015","1 Week","0.21"
"46","RVR","30 June 2015","1 Week","0.17"
"47","RVR","30 June 2015","1 Year","0.28"
"48","RVR","30 June 2015","1 Year","0.12"
"49","RVR","30 June 2015","3 Months","0.28"
"50","RVR","30 June 2015","3 Months","0.14"
"51","RVR","30 June 2015","3 Years","0.02"
"52","RVR","30 June 2015","3 Years","0.30"
"53","RVR","30 June 2015","5 Years","0.30"
"54","RVR","30 June 2015","5 Years","0.07"
"55","RVR","30 June 2015","6 Months","0.28"
"56","RVR","30 June 2015","6 Months","0.11"
"57","RVR","30 June 2015","Period †","High"
"58","RVR","30 June 2015","Period †","Open"
"59","RVR","30 June 2015","","1 year"
"60","RVR","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","RVR","30 June 2015","CFO growth","-"
"62","RVR","30 June 2015","Diluted continuous EPS growth","-"
"63","RVR","30 June 2015","Diluted EPS growth","-"
"64","RVR","30 June 2015","Dividend growth","-"
"65","RVR","30 June 2015","Equity per share growth","8.15"
"66","RVR","30 June 2015","FCF growth","-"
"67","RVR","30 June 2015","Net income cont growth","-"
"68","RVR","30 June 2015","Net income growth","-"
"69","RVR","30 June 2015","Operating income growth","-"
"70","RVR","30 June 2015","Operating revenue growth","0.00"
"71","RVR","30 June 2015","Revenue growth","0.00"
"72","RVR","30 June 2015","RVR Growth Ratios (30 June 2015)",NA
"73","RVR","30 June 2015","Assets turnover","-"
"74","RVR","30 June 2015","Capital expenditure sales ratio","-"
"75","RVR","30 June 2015","Cash conversion cycle","-"
"76","RVR","30 June 2015","Days in inventory","-"
"77","RVR","30 June 2015","Days in payment","-"
"78","RVR","30 June 2015","Days in sales","-"
"79","RVR","30 June 2015","FCF net income ratio","-"
"80","RVR","30 June 2015","FCF sales ratio","-"
"81","RVR","30 June 2015","Fixed assets turnover","-"
"82","RVR","30 June 2015","Inventory turnover","-"
"83","RVR","30 June 2015","Payable turnover","-"
"84","RVR","30 June 2015","Receivable turnover","-"
"85","RVR","30 June 2015","ROA","-0.44"
"86","RVR","30 June 2015","ROE","-0.97"
"87","RVR","30 June 2015","ROIC","-0.99"
"88","RVR","30 June 2015","RVR Efficency Ratios (30 June 2015)",NA
"89","RVR","30 June 2015","Current ratio","0.93"
"90","RVR","30 June 2015","Debt equity ratio","-"
"91","RVR","30 June 2015","Debt total capital ratio","-"
"92","RVR","30 June 2015","Financial leverage","2.24"
"93","RVR","30 June 2015","Quick ratio","0.91"
"94","RVR","30 June 2015","RVR Financial Health Ratios (30 June 2015)",NA
"95","RVR","30 June 2015","Total debt to equity","-"
"96","RVR","30 June 2015","Avg gross margin","-"
"97","RVR","30 June 2015","Avg net profit","-"
"98","RVR","30 June 2015","Avg post tax margin","-"
"99","RVR","30 June 2015","Avg pre tax marginr","-"
"100","RVR","30 June 2015","Avg ret assets","-0.49"
"101","RVR","30 June 2015","Avg ret commonr","-0.66"
"102","RVR","30 June 2015","Avg ret invested capital","-0.69"
"103","RVR","30 June 2015","Growth ann capital spending","3.77"
"104","RVR","30 June 2015","Growth ann gross profit","-"
"105","RVR","30 June 2015","RVR Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"106","RVR","30 June 2015","EBIT margin","-"
"107","RVR","30 June 2015","EBITDA margin","-"
"108","RVR","30 June 2015","EBT margin","-"
"109","RVR","30 June 2015","Gross margin","-"
"110","RVR","30 June 2015","Inc per employee tot ops","-"
"111","RVR","30 June 2015","Interest coverage","-1,769.17"
"112","RVR","30 June 2015","Net margin","-"
"113","RVR","30 June 2015","Normalized net profit margin","-"
"114","RVR","30 June 2015","Operating margin","-"
"115","RVR","30 June 2015","RVR Profitability Ratios (30 June 2015)",NA
"116","RVR","30 June 2015","Sales per employee","-"
"117","RVR","30 June 2015","Tax rate","-"
"118","RVR","30 June 2015","Book value per share","0.00"
"119","RVR","30 June 2015","Cash return","-0.02"
"120","RVR","30 June 2015","CF per share","-0.01"
"121","RVR","30 June 2015","Div payout 5 year","-"
"122","RVR","30 June 2015","Div payout tot ops","-"
