"","ticker","date","variable","value"
"1","SAI","30 June 2016","Address","Level 37,  680 George Street, 2000"
"2","SAI","30 June 2016","City/Country:","Sydney, Australia"
"3","SAI","30 June 2016","Company sector name:","Industrials"
"4","SAI","30 June 2016","End of fiscal year:","30 June 2016"
"5","SAI","30 June 2016","Industry group name","Business Services"
"6","SAI","30 June 2016","Industry name:","Business Services"
"7","SAI","30 June 2016","Web address:","http://www.sai-global.com"
"8","SAI","30 June 2016","Assets Turnover","-"
"9","SAI","30 June 2016","Book-Value pS","-"
"10","SAI","30 June 2016","Cash Flow pS","-"
"11","SAI","30 June 2016","Cash pS","-"
"12","SAI","30 June 2016","Current Ratio","1.43"
"13","SAI","30 June 2016","Dividend pS (DPS)","-"
"14","SAI","30 June 2016","Dividend Yield","-"
"15","SAI","30 June 2016","Domestic Sales","-"
"16","SAI","30 June 2016","Earnings pS (EPS)","-"
"17","SAI","30 June 2016","EBITDA Margin","-"
"18","SAI","30 June 2016","Effective Tax Rate","-"
"19","SAI","30 June 2016","Foreign Sales","-"
"20","SAI","30 June 2016","Free Cash Flow pS","-"
"21","SAI","30 June 2016","Gross gearing","-"
"22","SAI","30 June 2016","Gross Profit Margin","-"
"23","SAI","30 June 2016","Interest Cover","-"
"24","SAI","30 June 2016","Latest Shares Outstanding","213.43"
"25","SAI","30 June 2016","Leverage Ratio (Assets/Equity)","2.18"
"26","SAI","30 June 2016","LT Debt/Total Capital","0.41"
"27","SAI","30 June 2016","Market Capitalisation","992.46"
"28","SAI","30 June 2016","Net Debt","-"
"29","SAI","30 June 2016","PE Ratio","-"
"30","SAI","30 June 2016","Pre-Tax Profit Margin","-"
"31","SAI","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","SAI","30 June 2016","Return on Assets (ROA)","0.06"
"33","SAI","30 June 2016","Return on Capital Invested (ROC...","0.09"
"34","SAI","30 June 2016","Return on Equity (ROE)","0.13"
"35","SAI","30 June 2016","SAI KEY FIGURES (at previous day's close)",NA
"36","SAI","30 June 2016","Sales per Employee","-"
"37","SAI","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","SAI","30 June 2016","Spread","-0.12"
"39","SAI","30 June 2016","Tangible Book-Value pS","-"
"40","SAI","30 June 2016","Total Debt/Equity (Gearing Rati...","0.69"
"41","SAI","30 June 2016","Working Capital pS","-"
"42","SAI","30 June 2016","Yesterday's Close","4.65"
"43","SAI","30 June 2016","1 Month","4.78"
"44","SAI","30 June 2016","1 Month","3.43"
"45","SAI","30 June 2016","1 Week","4.78"
"46","SAI","30 June 2016","1 Week","3.41"
"47","SAI","30 June 2016","1 Year","4.78"
"48","SAI","30 June 2016","1 Year","4.42"
"49","SAI","30 June 2016","3 Months","4.78"
"50","SAI","30 June 2016","3 Months","3.53"
"51","SAI","30 June 2016","3 Years","5.26"
"52","SAI","30 June 2016","3 Years","4.56"
"53","SAI","30 June 2016","5 Years","5.29"
"54","SAI","30 June 2016","5 Years","4.61"
"55","SAI","30 June 2016","6 Months","4.78"
"56","SAI","30 June 2016","6 Months","3.69"
"57","SAI","30 June 2016","Period †","High"
"58","SAI","30 June 2016","Period †","Open"
"59","SAI","30 June 2016","","1 year"
"60","SAI","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","SAI","30 June 2016","CFO growth","-0.18"
"62","SAI","30 June 2016","Diluted continuous EPS growth","0.35"
"63","SAI","30 June 2016","Diluted EPS growth","0.35"
"64","SAI","30 June 2016","Dividend growth","0.17"
"65","SAI","30 June 2016","Equity per share growth","0.04"
"66","SAI","30 June 2016","FCF growth","-0.40"
"67","SAI","30 June 2016","Net income cont growth","0.35"
"68","SAI","30 June 2016","Net income growth","0.35"
"69","SAI","30 June 2016","Operating income growth","0.27"
"70","SAI","30 June 2016","Operating revenue growth","0.04"
"71","SAI","30 June 2016","Revenue growth","0.04"
"72","SAI","30 June 2016","SAI Growth Ratios (30 June 2016)",NA
"73","SAI","30 June 2016","Assets turnover","0.62"
"74","SAI","30 June 2016","Capital expenditure sales ratio","0.06"
"75","SAI","30 June 2016","Cash conversion cycle","-16.23"
"76","SAI","30 June 2016","Days in inventory","1.55"
"77","SAI","30 June 2016","Days in payment","101.74"
"78","SAI","30 June 2016","Days in sales","83.96"
"79","SAI","30 June 2016","FCF net income ratio","0.59"
"80","SAI","30 June 2016","FCF sales ratio","0.06"
"81","SAI","30 June 2016","Fixed assets turnover","7.97"
"82","SAI","30 June 2016","Inventory turnover","235.58"
"83","SAI","30 June 2016","Payable turnover","3.59"
"84","SAI","30 June 2016","Receivable turnover","4.35"
"85","SAI","30 June 2016","ROA","0.06"
"86","SAI","30 June 2016","ROE","0.13"
"87","SAI","30 June 2016","ROIC","0.09"
"88","SAI","30 June 2016","SAI Efficency Ratios (30 June 2016)",NA
"89","SAI","30 June 2016","Current ratio","1.43"
"90","SAI","30 June 2016","Debt equity ratio","0.69"
"91","SAI","30 June 2016","Debt total capital ratio","0.41"
"92","SAI","30 June 2016","Financial leverage","2.18"
"93","SAI","30 June 2016","Quick ratio","1.32"
"94","SAI","30 June 2016","SAI Financial Health Ratios (30 June 2016)",NA
"95","SAI","30 June 2016","Total debt to equity","0.69"
"96","SAI","30 June 2016","Avg gross margin","0.84"
"97","SAI","30 June 2016","Avg net profit","0.05"
"98","SAI","30 June 2016","Avg post tax margin","0.05"
"99","SAI","30 June 2016","Avg pre tax marginr","0.08"
"100","SAI","30 June 2016","Avg ret assets","0.03"
"101","SAI","30 June 2016","Avg ret commonr","0.07"
"102","SAI","30 June 2016","Avg ret invested capital","0.05"
"103","SAI","30 June 2016","Growth ann capital spending","0.16"
"104","SAI","30 June 2016","Growth ann gross profit","0.06"
"105","SAI","30 June 2016","SAI Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"106","SAI","30 June 2016","EBIT margin","0.15"
"107","SAI","30 June 2016","EBITDA margin","0.22"
"108","SAI","30 June 2016","EBT margin","0.13"
"109","SAI","30 June 2016","Gross margin","0.84"
"110","SAI","30 June 2016","Inc per employee tot ops","26,532.00"
"111","SAI","30 June 2016","Interest coverage","7.91"
"112","SAI","30 June 2016","Net margin","0.09"
"113","SAI","30 June 2016","Normalized net profit margin","0.08"
"114","SAI","30 June 2016","Operating margin","0.13"
"115","SAI","30 June 2016","SAI Profitability Ratios (30 June 2016)",NA
"116","SAI","30 June 2016","Sales per employee","281,849.00"
"117","SAI","30 June 2016","Tax rate","0.28"
"118","SAI","30 June 2016","Book value per share","1.86"
"119","SAI","30 June 2016","Cash return","0.06"
"120","SAI","30 June 2016","CF per share","0.38"
"121","SAI","30 June 2016","Div payout 5 year","0.66"
"122","SAI","30 June 2016","Div payout tot ops","1.23"
"123","SAI","30 June 2016","Div rate","0.27"
"124","SAI","30 June 2016","Dividend yield","0.06"
"125","SAI","30 June 2016","Growth ann sales per share 5 ye...","0.03"
"126","SAI","30 June 2016","Payout ratio","1.06"
"127","SAI","30 June 2016","Price to book","1.97"
"128","SAI","30 June 2016","Price to cash flow","9.71"
"129","SAI","30 June 2016","Price to EPS","19.80"
"130","SAI","30 June 2016","Price to free cash flow","14.88"
"131","SAI","30 June 2016","Price to sales","1.44"
"132","SAI","30 June 2016","Ratio PE 5 year high","28.59"
"133","SAI","30 June 2016","Ratio PE 5 year low","17.38"
"134","SAI","30 June 2016","SAI Valuation Ratios (30 June 2016)",NA
"135","SAI","30 June 2016","Sales per share","2.55"
"136","SAI","30 June 2016","Sustainable growth rate","-0.01"
"137","SAI","30 June 2016","FTSE",NA
"138","SAI","30 June 2016","FTSE 100",NA
"139","SAI","30 June 2016","FX",NA
"140","SAI","30 June 2016","GBPUSD",NA
"141","SAI","30 June 2016","GKP",NA
"142","SAI","30 June 2016","Gulf Keyst..",NA
"143","SAI","30 June 2016","IOF",NA
"144","SAI","30 June 2016","Iofina",NA
"145","SAI","30 June 2016","LSE",NA
"146","SAI","30 June 2016","LSE",NA
"147","SAI","30 June 2016","LSE",NA
"148","SAI","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
