"","ticker","date","variable","value"
"1","SAU","30 June 2015","Address","Ground Floor  229 Greenhill Road, 5065"
"2","SAU","30 June 2015","City/Country:","Dulwich, Australia"
"3","SAU","30 June 2015","Company sector name:","Basic Materials"
"4","SAU","30 June 2015","End of fiscal year:","30 June 2015"
"5","SAU","30 June 2015","Industry group name","Metals & Mining"
"6","SAU","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","SAU","30 June 2015","Web address:","http://www.southerngold.com.au"
"8","SAU","30 June 2015","Assets Turnover","-"
"9","SAU","30 June 2015","Book-Value pS","-"
"10","SAU","30 June 2015","Cash Flow pS","-"
"11","SAU","30 June 2015","Cash pS","-"
"12","SAU","30 June 2015","Current Ratio","1.44"
"13","SAU","30 June 2015","Dividend pS (DPS)","-"
"14","SAU","30 June 2015","Dividend Yield","-"
"15","SAU","30 June 2015","Domestic Sales","-"
"16","SAU","30 June 2015","Earnings pS (EPS)","-"
"17","SAU","30 June 2015","EBITDA Margin","-"
"18","SAU","30 June 2015","Effective Tax Rate","-"
"19","SAU","30 June 2015","Foreign Sales","-"
"20","SAU","30 June 2015","Free Cash Flow pS","-"
"21","SAU","30 June 2015","Gross gearing","-"
"22","SAU","30 June 2015","Gross Profit Margin","-"
"23","SAU","30 June 2015","Interest Cover","-"
"24","SAU","30 June 2015","Latest Shares Outstanding","42.97"
"25","SAU","30 June 2015","Leverage Ratio (Assets/Equity)","1.07"
"26","SAU","30 June 2015","LT Debt/Total Capital","-"
"27","SAU","30 June 2015","Market Capitalisation","16.97"
"28","SAU","30 June 2015","Net Debt","-"
"29","SAU","30 June 2015","PE Ratio","-"
"30","SAU","30 June 2015","Pre-Tax Profit Margin","-"
"31","SAU","30 June 2015","Research & Devlopment (R&D) as ...","-"
"32","SAU","30 June 2015","Return on Assets (ROA)","-0.53"
"33","SAU","30 June 2015","Return on Capital Invested (ROC...","-0.55"
"34","SAU","30 June 2015","Return on Equity (ROE)","-0.58"
"35","SAU","30 June 2015","Sales per Employee","-"
"36","SAU","30 June 2015","SAU KEY FIGURES (at previous day's close)",NA
"37","SAU","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","SAU","30 June 2015","Spread","0.04"
"39","SAU","30 June 2015","Tangible Book-Value pS","-"
"40","SAU","30 June 2015","Total Debt/Equity (Gearing Rati...","0.05"
"41","SAU","30 June 2015","Working Capital pS","-"
"42","SAU","30 June 2015","Yesterday's Close","0.40"
"43","SAU","30 June 2015","1 Month","0.40"
"44","SAU","30 June 2015","1 Month","0.33"
"45","SAU","30 June 2015","1 Week","0.40"
"46","SAU","30 June 2015","1 Week","0.37"
"47","SAU","30 June 2015","1 Year","0.46"
"48","SAU","30 June 2015","1 Year","0.01"
"49","SAU","30 June 2015","3 Months","0.46"
"50","SAU","30 June 2015","3 Months","0.30"
"51","SAU","30 June 2015","3 Years","0.46"
"52","SAU","30 June 2015","3 Years","0.02"
"53","SAU","30 June 2015","5 Years","0.04"
"54","SAU","30 June 2015","5 Years","0.46"
"55","SAU","30 June 2015","6 Months","0.46"
"56","SAU","30 June 2015","6 Months","0.23"
"57","SAU","30 June 2015","Period †","High"
"58","SAU","30 June 2015","Period †","Open"
"59","SAU","30 June 2015","","1 year"
"60","SAU","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","SAU","30 June 2015","CFO growth","-"
"62","SAU","30 June 2015","Diluted continuous EPS growth","-"
"63","SAU","30 June 2015","Diluted EPS growth","-"
"64","SAU","30 June 2015","Dividend growth","-"
"65","SAU","30 June 2015","Equity per share growth","-0.54"
"66","SAU","30 June 2015","FCF growth","-"
"67","SAU","30 June 2015","Net income cont growth","-"
"68","SAU","30 June 2015","Net income growth","-"
"69","SAU","30 June 2015","Operating income growth","-"
"70","SAU","30 June 2015","Operating revenue growth","0.00"
"71","SAU","30 June 2015","Revenue growth","0.00"
"72","SAU","30 June 2015","SAU Growth Ratios (30 June 2015)",NA
"73","SAU","30 June 2015","Assets turnover","-"
"74","SAU","30 June 2015","Capital expenditure sales ratio","-"
"75","SAU","30 June 2015","Cash conversion cycle","-"
"76","SAU","30 June 2015","Days in inventory","-"
"77","SAU","30 June 2015","Days in payment","-"
"78","SAU","30 June 2015","Days in sales","-"
"79","SAU","30 June 2015","FCF net income ratio","-"
"80","SAU","30 June 2015","FCF sales ratio","-"
"81","SAU","30 June 2015","Fixed assets turnover","-"
"82","SAU","30 June 2015","Inventory turnover","-"
"83","SAU","30 June 2015","Payable turnover","-"
"84","SAU","30 June 2015","Receivable turnover","-"
"85","SAU","30 June 2015","ROA","-0.53"
"86","SAU","30 June 2015","ROE","-0.58"
"87","SAU","30 June 2015","ROIC","-0.55"
"88","SAU","30 June 2015","SAU Efficency Ratios (30 June 2015)",NA
"89","SAU","30 June 2015","Current ratio","1.44"
"90","SAU","30 June 2015","Debt equity ratio","-"
"91","SAU","30 June 2015","Debt total capital ratio","-"
"92","SAU","30 June 2015","Financial leverage","1.07"
"93","SAU","30 June 2015","Quick ratio","1.28"
"94","SAU","30 June 2015","SAU Financial Health Ratios (30 June 2015)",NA
"95","SAU","30 June 2015","Total debt to equity","0.05"
"96","SAU","30 June 2015","Avg gross margin","-"
"97","SAU","30 June 2015","Avg net profit","-"
"98","SAU","30 June 2015","Avg post tax margin","-"
"99","SAU","30 June 2015","Avg pre tax marginr","-"
"100","SAU","30 June 2015","Avg ret assets","-0.20"
"101","SAU","30 June 2015","Avg ret commonr","-0.22"
"102","SAU","30 June 2015","Avg ret invested capital","-0.22"
"103","SAU","30 June 2015","Growth ann capital spending","-0.28"
"104","SAU","30 June 2015","Growth ann gross profit","-"
"105","SAU","30 June 2015","SAU Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"106","SAU","30 June 2015","EBIT margin","-"
"107","SAU","30 June 2015","EBITDA margin","-"
"108","SAU","30 June 2015","EBT margin","-"
"109","SAU","30 June 2015","Gross margin","-"
"110","SAU","30 June 2015","Inc per employee tot ops","-"
"111","SAU","30 June 2015","Interest coverage","-26.58"
"112","SAU","30 June 2015","Net margin","-"
"113","SAU","30 June 2015","Normalized net profit margin","-"
"114","SAU","30 June 2015","Operating margin","-"
"115","SAU","30 June 2015","Sales per employee","-"
"116","SAU","30 June 2015","SAU Profitability Ratios (30 June 2015)",NA
"117","SAU","30 June 2015","Tax rate","-"
"118","SAU","30 June 2015","Book value per share","0.45"
"119","SAU","30 June 2015","Cash return","-0.30"
"120","SAU","30 June 2015","CF per share","-0.04"
"121","SAU","30 June 2015","Div payout 5 year","-"
"122","SAU","30 June 2015","Div payout tot ops","-"
"123","SAU","30 June 2015","Div rate","-"
"124","SAU","30 June 2015","Dividend yield","-"
"125","SAU","30 June 2015","Growth ann sales per share 5 ye...","-"
"126","SAU","30 June 2015","Payout ratio","0.00"
"127","SAU","30 June 2015","Price to book","0.43"
"128","SAU","30 June 2015","Price to cash flow","-4.37"
"129","SAU","30 June 2015","Price to EPS","-3.22"
"130","SAU","30 June 2015","Price to free cash flow","-2.10"
"131","SAU","30 June 2015","Price to sales","-"
"132","SAU","30 June 2015","Ratio PE 5 year high","-25.61"
"133","SAU","30 June 2015","Ratio PE 5 year low","-1.48"
"134","SAU","30 June 2015","Sales per share","0.00"
"135","SAU","30 June 2015","SAU Valuation Ratios (30 June 2015)",NA
"136","SAU","30 June 2015","Sustainable growth rate","-0.09"
"137","SAU","30 June 2015","FTSE",NA
"138","SAU","30 June 2015","FTSE 100",NA
"139","SAU","30 June 2015","FX",NA
"140","SAU","30 June 2015","GBPUSD",NA
"141","SAU","30 June 2015","GKP",NA
"142","SAU","30 June 2015","Gulf Keyst..",NA
"143","SAU","30 June 2015","IOF",NA
"144","SAU","30 June 2015","Iofina",NA
"145","SAU","30 June 2015","LSE",NA
"146","SAU","30 June 2015","LSE",NA
"147","SAU","30 June 2015","LSE",NA
"148","SAU","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","SAU","30 June 2015","QPP",NA
"150","SAU","30 June 2015","Quindell",NA
"151","SAU","30 June 2015","UK Sterlin..",NA
"152","SAU","30 June 2015","UKX",NA
