"","ticker","date","variable","value"
"1","SEG","30 June 2015","Address","Ground Floor  1306 Hay Street, 6005"
"2","SEG","30 June 2015","City/Country:","West Perth, Australia"
"3","SEG","30 June 2015","Company sector name:","Basic Materials"
"4","SEG","30 June 2015","End of fiscal year:","30 June 2015"
"5","SEG","30 June 2015","Industry group name","Metals & Mining"
"6","SEG","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","SEG","30 June 2015","Web address:","http://www.segueresources.com"
"8","SEG","30 June 2015","Assets Turnover","-"
"9","SEG","30 June 2015","Book-Value pS","-"
"10","SEG","30 June 2015","Cash Flow pS","-"
"11","SEG","30 June 2015","Cash pS","-"
"12","SEG","30 June 2015","Current Ratio","2.63"
"13","SEG","30 June 2015","Dividend pS (DPS)","-"
"14","SEG","30 June 2015","Dividend Yield","-"
"15","SEG","30 June 2015","Domestic Sales","-"
"16","SEG","30 June 2015","Earnings pS (EPS)","-"
"17","SEG","30 June 2015","EBITDA Margin","-"
"18","SEG","30 June 2015","Effective Tax Rate","-"
"19","SEG","30 June 2015","Foreign Sales","-"
"20","SEG","30 June 2015","Free Cash Flow pS","-"
"21","SEG","30 June 2015","Gross gearing","-"
"22","SEG","30 June 2015","Gross Profit Margin","-"
"23","SEG","30 June 2015","Interest Cover","-"
"24","SEG","30 June 2015","Latest Shares Outstanding","3,111.07"
"25","SEG","30 June 2015","Leverage Ratio (Assets/Equity)","1.03"
"26","SEG","30 June 2015","LT Debt/Total Capital","-"
"27","SEG","30 June 2015","Market Capitalisation","6.22"
"28","SEG","30 June 2015","Net Debt","-"
"29","SEG","30 June 2015","PE Ratio","-"
"30","SEG","30 June 2015","Pre-Tax Profit Margin","-"
"31","SEG","30 June 2015","Research & Devlopment (R&D) as ...","-"
"32","SEG","30 June 2015","Return on Assets (ROA)","-0.41"
"33","SEG","30 June 2015","Return on Capital Invested (ROC...","-0.43"
"34","SEG","30 June 2015","Return on Equity (ROE)","-0.43"
"35","SEG","30 June 2015","Sales per Employee","-"
"36","SEG","30 June 2015","SEG KEY FIGURES (at previous day's close)",NA
"37","SEG","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","SEG","30 June 2015","Spread","0.00"
"39","SEG","30 June 2015","Tangible Book-Value pS","-"
"40","SEG","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","SEG","30 June 2015","Working Capital pS","-"
"42","SEG","30 June 2015","Yesterday's Close","0.00"
"43","SEG","30 June 2015","1 Month","0.00"
"44","SEG","30 June 2015","1 Week","0.00"
"45","SEG","30 June 2015","1 Year","0.00"
"46","SEG","30 June 2015","1 Year","0.01"
"47","SEG","30 June 2015","3 Months","0.00"
"48","SEG","30 June 2015","3 Months","0.01"
