"","ticker","date","variable","value"
"1","SGP","30 June 2016","Address","133 Castlereagh Street  Level 25, 2000"
"2","SGP","30 June 2016","Auditor:","PricewaterhouseCoopers"
"3","SGP","30 June 2016","City/Country:","Sydney, Australia"
"4","SGP","30 June 2016","Company sector name:","Real Estate"
"5","SGP","30 June 2016","End of fiscal year:","30 June 2016"
"6","SGP","30 June 2016","Industry group name","REITs"
"7","SGP","30 June 2016","Industry name:","REIT - Diversified"
"8","SGP","30 June 2016","Web address:","http://www.stockland.com.au"
"9","SGP","30 June 2016","Assets Turnover","-"
"10","SGP","30 June 2016","Book-Value pS","-"
"11","SGP","30 June 2016","Cash Flow pS","-"
"12","SGP","30 June 2016","Cash pS","-"
"13","SGP","30 June 2016","Current Ratio","0.38"
"14","SGP","30 June 2016","Dividend pS (DPS)","-"
"15","SGP","30 June 2016","Dividend Yield","-"
"16","SGP","30 June 2016","Domestic Sales","-"
"17","SGP","30 June 2016","Earnings pS (EPS)","-"
"18","SGP","30 June 2016","EBITDA Margin","-"
"19","SGP","30 June 2016","Effective Tax Rate","-"
"20","SGP","30 June 2016","Foreign Sales","-"
"21","SGP","30 June 2016","Free Cash Flow pS","-"
"22","SGP","30 June 2016","Gross gearing","-"
"23","SGP","30 June 2016","Gross Profit Margin","-"
"24","SGP","30 June 2016","Interest Cover","-"
"25","SGP","30 June 2016","Latest Shares Outstanding","2,405.04"
"26","SGP","30 June 2016","Leverage Ratio (Assets/Equity)","1.83"
"27","SGP","30 June 2016","LT Debt/Total Capital","0.26"
"28","SGP","30 June 2016","Market Capitalisation","11,327.73"
"29","SGP","30 June 2016","Net Debt","-"
"30","SGP","30 June 2016","PE Ratio","-"
"31","SGP","30 June 2016","Pre-Tax Profit Margin","-"
"32","SGP","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","SGP","30 June 2016","Return on Assets (ROA)","0.05"
"34","SGP","30 June 2016","Return on Capital Invested (ROC...","0.09"
"35","SGP","30 June 2016","Return on Equity (ROE)","0.10"
"36","SGP","30 June 2016","Sales per Employee","-"
"37","SGP","30 June 2016","Selling, General & Adm/tive (SG...","-"
