"","ticker","date","variable","value"
"1","SHH","30 June 2015","Address","86 - 88 Forrest Street  Unit 4, The Pines Business Centre , 6011"
"2","SHH","30 June 2015","Auditor:","Grant Thornton Audit Pty Ltd"
"3","SHH","30 June 2015","City/Country:","Cottesloe , Australia"
"4","SHH","30 June 2015","Company sector name:","Basic Materials"
"5","SHH","30 June 2015","End of fiscal year:","30 June 2015"
"6","SHH","30 June 2015","Industry group name","Metals & Mining"
"7","SHH","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","SHH","30 June 2015","Web address:","http://www.shreeminerals.com"
"9","SHH","30 June 2015","Assets Turnover","-"
"10","SHH","30 June 2015","Book-Value pS","-"
"11","SHH","30 June 2015","Cash Flow pS","-"
"12","SHH","30 June 2015","Cash pS","-"
"13","SHH","30 June 2015","Current Ratio","1.09"
"14","SHH","30 June 2015","Dividend pS (DPS)","-"
"15","SHH","30 June 2015","Dividend Yield","-"
"16","SHH","30 June 2015","Domestic Sales","-"
"17","SHH","30 June 2015","Earnings pS (EPS)","-"
"18","SHH","30 June 2015","EBITDA Margin","-"
"19","SHH","30 June 2015","Effective Tax Rate","-"
"20","SHH","30 June 2015","Foreign Sales","-"
"21","SHH","30 June 2015","Free Cash Flow pS","-"
"22","SHH","30 June 2015","Gross gearing","-"
"23","SHH","30 June 2015","Gross Profit Margin","-"
"24","SHH","30 June 2015","Interest Cover","-"
"25","SHH","30 June 2015","Latest Shares Outstanding","284.37"
"26","SHH","30 June 2015","Leverage Ratio (Assets/Equity)","3.61"
"27","SHH","30 June 2015","LT Debt/Total Capital","0.00"
"28","SHH","30 June 2015","Market Capitalisation","5.97"
"29","SHH","30 June 2015","Net Debt","-"
"30","SHH","30 June 2015","PE Ratio","-"
"31","SHH","30 June 2015","Pre-Tax Profit Margin","-"
"32","SHH","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","SHH","30 June 2015","Return on Assets (ROA)","-0.98"
"34","SHH","30 June 2015","Return on Capital Invested (ROC...","-1.70"
"35","SHH","30 June 2015","Return on Equity (ROE)","-1.75"
"36","SHH","30 June 2015","Sales per Employee","-"
"37","SHH","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","SHH","30 June 2015","SHH KEY FIGURES (at previous day's close)",NA
"39","SHH","30 June 2015","Spread","0.01"
"40","SHH","30 June 2015","Tangible Book-Value pS","-"
"41","SHH","30 June 2015","Total Debt/Equity (Gearing Rati...","0.01"
"42","SHH","30 June 2015","Working Capital pS","-"
"43","SHH","30 June 2015","Yesterday's Close","0.02"
"44","SHH","30 June 2015","1 Month","0.02"
"45","SHH","30 June 2015","1 Week","0.02"
"46","SHH","30 June 2015","1 Year","0.01"
"47","SHH","30 June 2015","1 Year","0.03"
"48","SHH","30 June 2015","3 Months","0.03"
"49","SHH","30 June 2015","3 Years","0.20"
"50","SHH","30 June 2015","3 Years","0.18"
"51","SHH","30 June 2015","5 Years","0.20"
"52","SHH","30 June 2015","5 Years","0.10"
"53","SHH","30 June 2015","6 Months","0.01"
"54","SHH","30 June 2015","6 Months","0.03"
"55","SHH","30 June 2015","Period †","High"
"56","SHH","30 June 2015","Period †","Open"
"57","SHH","30 June 2015","","1 year"
"58","SHH","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","SHH","30 June 2015","CFO growth","-"
"60","SHH","30 June 2015","Diluted continuous EPS growth","-"
"61","SHH","30 June 2015","Diluted EPS growth","-"
"62","SHH","30 June 2015","Dividend growth","-"
"63","SHH","30 June 2015","Equity per share growth","-0.88"
"64","SHH","30 June 2015","FCF growth","-"
"65","SHH","30 June 2015","Net income cont growth","-"
"66","SHH","30 June 2015","Net income growth","-"
"67","SHH","30 June 2015","Operating income growth","-"
"68","SHH","30 June 2015","Operating revenue growth","-"
"69","SHH","30 June 2015","Revenue growth","-"
"70","SHH","30 June 2015","SHH Growth Ratios (30 June 2015)",NA
"71","SHH","30 June 2015","Assets turnover","-"
"72","SHH","30 June 2015","Capital expenditure sales ratio","-"
"73","SHH","30 June 2015","Cash conversion cycle","-"
"74","SHH","30 June 2015","Days in inventory","1,067.79"
"75","SHH","30 June 2015","Days in payment","613.89"
"76","SHH","30 June 2015","Days in sales","-"
"77","SHH","30 June 2015","FCF net income ratio","-"
"78","SHH","30 June 2015","FCF sales ratio","-"
"79","SHH","30 June 2015","Fixed assets turnover","-"
"80","SHH","30 June 2015","Inventory turnover","0.34"
"81","SHH","30 June 2015","Payable turnover","0.59"
"82","SHH","30 June 2015","Receivable turnover","-"
"83","SHH","30 June 2015","ROA","-0.98"
"84","SHH","30 June 2015","ROE","-1.75"
"85","SHH","30 June 2015","ROIC","-1.70"
"86","SHH","30 June 2015","SHH Efficency Ratios (30 June 2015)",NA
"87","SHH","30 June 2015","Current ratio","1.09"
"88","SHH","30 June 2015","Debt equity ratio","0.00"
"89","SHH","30 June 2015","Debt total capital ratio","0.00"
"90","SHH","30 June 2015","Financial leverage","3.61"
"91","SHH","30 June 2015","Quick ratio","0.37"
"92","SHH","30 June 2015","SHH Financial Health Ratios (30 June 2015)",NA
"93","SHH","30 June 2015","Total debt to equity","0.01"
"94","SHH","30 June 2015","Avg gross margin","-"
"95","SHH","30 June 2015","Avg net profit","-"
"96","SHH","30 June 2015","Avg post tax margin","-"
"97","SHH","30 June 2015","Avg pre tax marginr","-"
"98","SHH","30 June 2015","Avg ret assets","-0.24"
"99","SHH","30 June 2015","Avg ret commonr","-0.41"
"100","SHH","30 June 2015","Avg ret invested capital","-0.40"
"101","SHH","30 June 2015","Growth ann capital spending","-0.68"
"102","SHH","30 June 2015","Growth ann gross profit","-"
"103","SHH","30 June 2015","SHH Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"104","SHH","30 June 2015","EBIT margin","94.00"
"105","SHH","30 June 2015","EBITDA margin","93.70"
"106","SHH","30 June 2015","EBT margin","-"
"107","SHH","30 June 2015","Gross margin","-"
"108","SHH","30 June 2015","Inc per employee tot ops","-"
"109","SHH","30 June 2015","Interest coverage","-30.80"
"110","SHH","30 June 2015","Net margin","-"
"111","SHH","30 June 2015","Normalized net profit margin","88.16"
"112","SHH","30 June 2015","Operating margin","-"
"113","SHH","30 June 2015","Sales per employee","-"
"114","SHH","30 June 2015","SHH Profitability Ratios (30 June 2015)",NA
"115","SHH","30 June 2015","Tax rate","-"
"116","SHH","30 June 2015","Book value per share","0.08"
"117","SHH","30 June 2015","Cash return","-"
"118","SHH","30 June 2015","CF per share","0.00"
"119","SHH","30 June 2015","Div payout 5 year","-"
"120","SHH","30 June 2015","Div payout tot ops","-"
"121","SHH","30 June 2015","Div rate","-"
"122","SHH","30 June 2015","Dividend yield","-"
"123","SHH","30 June 2015","Growth ann sales per share 5 ye...","-"
"124","SHH","30 June 2015","Payout ratio","0.00"
"125","SHH","30 June 2015","Price to book","0.17"
"126","SHH","30 June 2015","Price to cash flow","3.54"
"127","SHH","30 June 2015","Price to EPS","-1.02"
"128","SHH","30 June 2015","Price to free cash flow","-0.54"
"129","SHH","30 June 2015","Price to sales","0.16"
"130","SHH","30 June 2015","Ratio PE 5 year high","-18.61"
"131","SHH","30 June 2015","Ratio PE 5 year low","-1.02"
"132","SHH","30 June 2015","Sales per share","0.08"
"133","SHH","30 June 2015","SHH Valuation Ratios (30 June 2015)",NA
"134","SHH","30 June 2015","Sustainable growth rate","-0.15"
"135","SHH","30 June 2015","FTSE",NA
"136","SHH","30 June 2015","FTSE 100",NA
"137","SHH","30 June 2015","FX",NA
"138","SHH","30 June 2015","GBPUSD",NA
"139","SHH","30 June 2015","GKP",NA
"140","SHH","30 June 2015","Gulf Keyst..",NA
"141","SHH","30 June 2015","IOF",NA
"142","SHH","30 June 2015","Iofina",NA
"143","SHH","30 June 2015","LSE",NA
"144","SHH","30 June 2015","LSE",NA
"145","SHH","30 June 2015","LSE",NA
"146","SHH","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"147","SHH","30 June 2015","QPP",NA
"148","SHH","30 June 2015","Quindell",NA
"149","SHH","30 June 2015","UK Sterlin..",NA
"150","SHH","30 June 2015","UKX",NA
