"","ticker","date","variable","value"
"1","SLR","30 June 2016","Address","South Shore Centre  Suite 4, Level 3, 6151"
"2","SLR","30 June 2016","City/Country:","South Perth, Australia"
"3","SLR","30 June 2016","Company sector name:","Basic Materials"
"4","SLR","30 June 2016","End of fiscal year:","30 June 2016"
"5","SLR","30 June 2016","Industry group name","Metals & Mining"
"6","SLR","30 June 2016","Industry name:","Gold"
"7","SLR","30 June 2016","Web address:","http://www.silverlakeresources.com.au"
"8","SLR","30 June 2016","Assets Turnover","-"
"9","SLR","30 June 2016","Book-Value pS","-"
"10","SLR","30 June 2016","Cash Flow pS","-"
"11","SLR","30 June 2016","Cash pS","-"
"12","SLR","30 June 2016","Current Ratio","1.68"
"13","SLR","30 June 2016","Dividend pS (DPS)","-"
"14","SLR","30 June 2016","Dividend Yield","-"
"15","SLR","30 June 2016","Domestic Sales","-"
"16","SLR","30 June 2016","Earnings pS (EPS)","-"
"17","SLR","30 June 2016","EBITDA Margin","-"
"18","SLR","30 June 2016","Effective Tax Rate","-"
"19","SLR","30 June 2016","Foreign Sales","-"
"20","SLR","30 June 2016","Free Cash Flow pS","-"
"21","SLR","30 June 2016","Gross gearing","-"
"22","SLR","30 June 2016","Gross Profit Margin","-"
"23","SLR","30 June 2016","Interest Cover","-"
"24","SLR","30 June 2016","Latest Shares Outstanding","503.71"
"25","SLR","30 June 2016","Leverage Ratio (Assets/Equity)","1.35"
"26","SLR","30 June 2016","LT Debt/Total Capital","0.01"
"27","SLR","30 June 2016","Market Capitalisation","259.41"
"28","SLR","30 June 2016","Net Debt","-"
"29","SLR","30 June 2016","PE Ratio","-"
"30","SLR","30 June 2016","Pre-Tax Profit Margin","-"
"31","SLR","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","SLR","30 June 2016","Return on Assets (ROA)","0.02"
"33","SLR","30 June 2016","Return on Capital Invested (ROC...","0.04"
"34","SLR","30 June 2016","Return on Equity (ROE)","0.02"
"35","SLR","30 June 2016","Sales per Employee","-"
"36","SLR","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","SLR","30 June 2016","SLR KEY FIGURES (at previous day's close)",NA
"38","SLR","30 June 2016","Spread","0.06"
"39","SLR","30 June 2016","Tangible Book-Value pS","-"
"40","SLR","30 June 2016","Total Debt/Equity (Gearing Rati...","0.03"
"41","SLR","30 June 2016","Working Capital pS","-"
