"","ticker","date","variable","value"
"1","SMG","31 December 2014","Address","Unit 10 / 8 Metroplex Avenue"
"2","SMG","31 December 2014","City/Country:","Murarrie, Australia"
"3","SMG","31 December 2014","Company sector name:","Basic Materials"
"4","SMG","31 December 2014","End of fiscal year:","31 December 2014"
"5","SMG","31 December 2014","Industry group name","Metals & Mining"
"6","SMG","31 December 2014","Industry name:","Gold"
"7","SMG","31 December 2014","1 Month","0.39"
"8","SMG","31 December 2014","1 Month","0.33"
"9","SMG","31 December 2014","1 Week","0.39"
"10","SMG","31 December 2014","1 Year","0.40"
"11","SMG","31 December 2014","1 Year","0.20"
"12","SMG","31 December 2014","3 Months","0.40"
"13","SMG","31 December 2014","3 Months","0.35"
"14","SMG","31 December 2014","3 Years","0.40"
"15","SMG","31 December 2014","3 Years","0.20"
"16","SMG","31 December 2014","5 Years","0.40"
"17","SMG","31 December 2014","5 Years","0.20"
"18","SMG","31 December 2014","6 Months","0.40"
"19","SMG","31 December 2014","6 Months","0.18"
"20","SMG","31 December 2014","Period †","High"
"21","SMG","31 December 2014","Period †","Open"
"22","SMG","31 December 2014","","1 year"
"23","SMG","31 December 2014","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"24","SMG","31 December 2014","CFO growth","-"
"25","SMG","31 December 2014","Diluted continuous EPS growth","-"
"26","SMG","31 December 2014","Diluted EPS growth","-"
"27","SMG","31 December 2014","Dividend growth","-"
"28","SMG","31 December 2014","Equity per share growth","-"
"29","SMG","31 December 2014","FCF growth","-"
"30","SMG","31 December 2014","Net income cont growth","-"
"31","SMG","31 December 2014","Net income growth","-"
"32","SMG","31 December 2014","Operating income growth","-"
"33","SMG","31 December 2014","Operating revenue growth","-"
"34","SMG","31 December 2014","Revenue growth","-"
"35","SMG","31 December 2014","SMG Growth Ratios (-)",NA
"36","SMG","31 December 2014","Assets turnover","-"
"37","SMG","31 December 2014","Capital expenditure sales ratio","-"
"38","SMG","31 December 2014","Cash conversion cycle","-"
"39","SMG","31 December 2014","Days in inventory","-"
"40","SMG","31 December 2014","Days in payment","-"
"41","SMG","31 December 2014","Days in sales","-"
"42","SMG","31 December 2014","FCF net income ratio","-"
"43","SMG","31 December 2014","FCF sales ratio","-"
"44","SMG","31 December 2014","Fixed assets turnover","-"
"45","SMG","31 December 2014","Inventory turnover","-"
"46","SMG","31 December 2014","Payable turnover","-"
"47","SMG","31 December 2014","Receivable turnover","-"
"48","SMG","31 December 2014","ROA","-"
"49","SMG","31 December 2014","ROE","-"
"50","SMG","31 December 2014","ROIC","-"
"51","SMG","31 December 2014","SMG Efficency Ratios (-)",NA
"52","SMG","31 December 2014","Current ratio","-"
"53","SMG","31 December 2014","Debt equity ratio","-"
"54","SMG","31 December 2014","Debt total capital ratio","-"
"55","SMG","31 December 2014","Financial leverage","-"
"56","SMG","31 December 2014","Quick ratio","-"
"57","SMG","31 December 2014","SMG Financial Health Ratios (-)",NA
"58","SMG","31 December 2014","Total debt to equity","-"
"59","SMG","31 December 2014","Avg gross margin","-"
"60","SMG","31 December 2014","Avg net profit","-"
"61","SMG","31 December 2014","Avg post tax margin","-"
"62","SMG","31 December 2014","Avg pre tax marginr","-"
"63","SMG","31 December 2014","Avg ret assets","-"
"64","SMG","31 December 2014","Avg ret commonr","-"
"65","SMG","31 December 2014","Avg ret invested capital","-"
"66","SMG","31 December 2014","Growth ann capital spending","-"
"67","SMG","31 December 2014","Growth ann gross profit","-"
"68","SMG","31 December 2014","SMG Avearge Growth Ratios Over 5 Years (-)",NA
"69","SMG","31 December 2014","EBIT margin","-"
"70","SMG","31 December 2014","EBITDA margin","-"
"71","SMG","31 December 2014","EBT margin","-"
"72","SMG","31 December 2014","Gross margin","-"
"73","SMG","31 December 2014","Inc per employee tot ops","-"
"74","SMG","31 December 2014","Interest coverage","-"
"75","SMG","31 December 2014","Net margin","-"
"76","SMG","31 December 2014","Normalized net profit margin","-"
"77","SMG","31 December 2014","Operating margin","-"
"78","SMG","31 December 2014","Sales per employee","-"
"79","SMG","31 December 2014","SMG Profitability Ratios (-)",NA
"80","SMG","31 December 2014","Tax rate","-"
"81","SMG","31 December 2014","Book value per share","-"
"82","SMG","31 December 2014","Cash return","-"
"83","SMG","31 December 2014","CF per share","-"
"84","SMG","31 December 2014","Div payout 5 year","-"
"85","SMG","31 December 2014","Div payout tot ops","-"
"86","SMG","31 December 2014","Div rate","-"
"87","SMG","31 December 2014","Dividend yield","-"
"88","SMG","31 December 2014","Growth ann sales per share 5 ye...","-"
"89","SMG","31 December 2014","Payout ratio","-"
"90","SMG","31 December 2014","Price to book","-"
"91","SMG","31 December 2014","Price to cash flow","-"
"92","SMG","31 December 2014","Price to EPS","-"
"93","SMG","31 December 2014","Price to free cash flow","-"
"94","SMG","31 December 2014","Price to sales","-"
"95","SMG","31 December 2014","Ratio PE 5 year high","-"
"96","SMG","31 December 2014","Ratio PE 5 year low","-"
"97","SMG","31 December 2014","Sales per share","-"
"98","SMG","31 December 2014","SMG Valuation Ratios (-)",NA
"99","SMG","31 December 2014","Sustainable growth rate","-"
"100","SMG","31 December 2014","FTSE",NA
"101","SMG","31 December 2014","FTSE 100",NA
"102","SMG","31 December 2014","FX",NA
"103","SMG","31 December 2014","GBPUSD",NA
"104","SMG","31 December 2014","GKP",NA
"105","SMG","31 December 2014","Gulf Keyst..",NA
"106","SMG","31 December 2014","IOF",NA
"107","SMG","31 December 2014","Iofina",NA
"108","SMG","31 December 2014","LSE",NA
"109","SMG","31 December 2014","LSE",NA
"110","SMG","31 December 2014","LSE",NA
"111","SMG","31 December 2014","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"112","SMG","31 December 2014","QPP",NA
"113","SMG","31 December 2014","Quindell",NA
"114","SMG","31 December 2014","UK Sterlin..",NA
"115","SMG","31 December 2014","UKX",NA
