"","ticker","date","variable","value"
"1","SMN","30 June 2016","Address","29 The Avenue   Suite 7, 6009"
"2","SMN","30 June 2016","City/Country:","Nedlands, Australia"
"3","SMN","30 June 2016","Company sector name:","Technology"
"4","SMN","30 June 2016","End of fiscal year:","30 June 2016"
"5","SMN","30 June 2016","Industry group name","Computer Hardware"
"6","SMN","30 June 2016","Industry name:","Scientific & Technical Instruments"
"7","SMN","30 June 2016","Web address:","http://www.smsystems.com.au"
"8","SMN","30 June 2016","Assets Turnover","-"
"9","SMN","30 June 2016","Book-Value pS","-"
"10","SMN","30 June 2016","Cash Flow pS","-"
"11","SMN","30 June 2016","Cash pS","-"
"12","SMN","30 June 2016","Current Ratio","18.32"
"13","SMN","30 June 2016","Dividend pS (DPS)","-"
"14","SMN","30 June 2016","Dividend Yield","-"
"15","SMN","30 June 2016","Domestic Sales","-"
"16","SMN","30 June 2016","Earnings pS (EPS)","-"
"17","SMN","30 June 2016","EBITDA Margin","-"
"18","SMN","30 June 2016","Effective Tax Rate","-"
"19","SMN","30 June 2016","Foreign Sales","-"
"20","SMN","30 June 2016","Free Cash Flow pS","-"
"21","SMN","30 June 2016","Gross gearing","-"
"22","SMN","30 June 2016","Gross Profit Margin","-"
"23","SMN","30 June 2016","Interest Cover","-"
"24","SMN","30 June 2016","Latest Shares Outstanding","101.87"
"25","SMN","30 June 2016","Leverage Ratio (Assets/Equity)","1.06"
"26","SMN","30 June 2016","LT Debt/Total Capital","-"
"27","SMN","30 June 2016","Market Capitalisation","277.09"
"28","SMN","30 June 2016","Net Debt","-"
"29","SMN","30 June 2016","PE Ratio","-"
"30","SMN","30 June 2016","Pre-Tax Profit Margin","-"
"31","SMN","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","SMN","30 June 2016","Return on Assets (ROA)","-1.30"
"33","SMN","30 June 2016","Return on Capital Invested (ROC...","-1.40"
"34","SMN","30 June 2016","Return on Equity (ROE)","-1.39"
"35","SMN","30 June 2016","Sales per Employee","-"
"36","SMN","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","SMN","30 June 2016","SMN KEY FIGURES (at previous day's close)",NA
"38","SMN","30 June 2016","Spread","0.21"
"39","SMN","30 June 2016","Tangible Book-Value pS","-"
"40","SMN","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","SMN","30 June 2016","Working Capital pS","-"
"42","SMN","30 June 2016","Yesterday's Close","2.72"
"43","SMN","30 June 2016","1 Month","2.99"
"44","SMN","30 June 2016","1 Month","2.33"
"45","SMN","30 June 2016","1 Week","2.77"
"46","SMN","30 June 2016","1 Week","2.65"
"47","SMN","30 June 2016","1 Year","2.99"
"48","SMN","30 June 2016","1 Year","0.53"
"49","SMN","30 June 2016","3 Months","2.99"
"50","SMN","30 June 2016","3 Months","1.76"
"51","SMN","30 June 2016","3 Years","2.99"
"52","SMN","30 June 2016","3 Years","0.05"
"53","SMN","30 June 2016","5 Years","2.99"
"54","SMN","30 June 2016","5 Years","0.01"
"55","SMN","30 June 2016","6 Months","2.99"
"56","SMN","30 June 2016","6 Months","1.55"
"57","SMN","30 June 2016","Period †","High"
"58","SMN","30 June 2016","Period †","Open"
"59","SMN","30 June 2016","","1 year"
"60","SMN","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","SMN","30 June 2016","CFO growth","-"
"62","SMN","30 June 2016","Diluted continuous EPS growth","-"
"63","SMN","30 June 2016","Diluted EPS growth","-"
"64","SMN","30 June 2016","Dividend growth","-"
"65","SMN","30 June 2016","Equity per share growth","5.16"
"66","SMN","30 June 2016","FCF growth","-"
"67","SMN","30 June 2016","Net income cont growth","-"
"68","SMN","30 June 2016","Net income growth","-"
"69","SMN","30 June 2016","Operating income growth","-"
"70","SMN","30 June 2016","Operating revenue growth","64.98"
"71","SMN","30 June 2016","Revenue growth","64.98"
"72","SMN","30 June 2016","SMN Growth Ratios (30 June 2016)",NA
"73","SMN","30 June 2016","Assets turnover","0.06"
"74","SMN","30 June 2016","Capital expenditure sales ratio","-"
"75","SMN","30 June 2016","Cash conversion cycle","-"
"76","SMN","30 June 2016","Days in inventory","-"
"77","SMN","30 June 2016","Days in payment","493.82"
"78","SMN","30 June 2016","Days in sales","46.08"
"79","SMN","30 June 2016","FCF net income ratio","-"
"80","SMN","30 June 2016","FCF sales ratio","-"
"81","SMN","30 June 2016","Fixed assets turnover","-"
"82","SMN","30 June 2016","Inventory turnover","-"
"83","SMN","30 June 2016","Payable turnover","0.74"
"84","SMN","30 June 2016","Receivable turnover","7.92"
"85","SMN","30 June 2016","ROA","-1.30"
"86","SMN","30 June 2016","ROE","-1.39"
"87","SMN","30 June 2016","ROIC","-1.40"
"88","SMN","30 June 2016","SMN Efficency Ratios (30 June 2016)",NA
"89","SMN","30 June 2016","Current ratio","18.32"
"90","SMN","30 June 2016","Debt equity ratio","-"
"91","SMN","30 June 2016","Debt total capital ratio","-"
"92","SMN","30 June 2016","Financial leverage","1.06"
"93","SMN","30 June 2016","Quick ratio","18.32"
"94","SMN","30 June 2016","SMN Financial Health Ratios (30 June 2016)",NA
"95","SMN","30 June 2016","Total debt to equity","-"
"96","SMN","30 June 2016","Avg gross margin","-3.05"
"97","SMN","30 June 2016","Avg net profit","-109.77"
"98","SMN","30 June 2016","Avg post tax margin","-109.77"
"99","SMN","30 June 2016","Avg pre tax marginr","-109.77"
"100","SMN","30 June 2016","Avg ret assets","-2.46"
"101","SMN","30 June 2016","Avg ret commonr","-182.89"
"102","SMN","30 June 2016","Avg ret invested capital","-182.87"
"103","SMN","30 June 2016","Growth ann capital spending","-"
"104","SMN","30 June 2016","Growth ann gross profit","-0.38"
"105","SMN","30 June 2016","SMN Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"106","SMN","30 June 2016","EBIT margin","-22.02"
"107","SMN","30 June 2016","EBITDA margin","-22.02"
"108","SMN","30 June 2016","EBT margin","-21.77"
"109","SMN","30 June 2016","Gross margin","0.13"
"110","SMN","30 June 2016","Inc per employee tot ops","-"
"111","SMN","30 June 2016","Interest coverage","-"
"112","SMN","30 June 2016","Net margin","-21.77"
"113","SMN","30 June 2016","Normalized net profit margin","-21.77"
"114","SMN","30 June 2016","Operating margin","-22.02"
"115","SMN","30 June 2016","Sales per employee","-"
"116","SMN","30 June 2016","SMN Profitability Ratios (30 June 2016)",NA
"117","SMN","30 June 2016","Tax rate","-"
"118","SMN","30 June 2016","Book value per share","0.00"
"119","SMN","30 June 2016","Cash return","-0.00"
"120","SMN","30 June 2016","CF per share","-0.01"
"121","SMN","30 June 2016","Div payout 5 year","-"
"122","SMN","30 June 2016","Div payout tot ops","-"
"123","SMN","30 June 2016","Div rate","-"
"124","SMN","30 June 2016","Dividend yield","-"
"125","SMN","30 June 2016","Growth ann sales per share 5 ye...","-0.69"
"126","SMN","30 June 2016","Payout ratio","0.00"
"127","SMN","30 June 2016","Price to book","384.62"
"128","SMN","30 June 2016","Price to cash flow","-222.22"
"129","SMN","30 June 2016","Price to EPS","-188.68"
"130","SMN","30 June 2016","Price to free cash flow","-222.22"
"131","SMN","30 June 2016","Price to sales","-"
"132","SMN","30 June 2016","Ratio PE 5 year high","-243.31"
"133","SMN","30 June 2016","Ratio PE 5 year low","-2.03"
"134","SMN","30 June 2016","Sales per share","0.00"
"135","SMN","30 June 2016","SMN Valuation Ratios (30 June 2016)",NA
"136","SMN","30 June 2016","Sustainable growth rate","-3.74"
"137","SMN","30 June 2016","FTSE",NA
"138","SMN","30 June 2016","FTSE 100",NA
"139","SMN","30 June 2016","FX",NA
"140","SMN","30 June 2016","GBPUSD",NA
"141","SMN","30 June 2016","GKP",NA
"142","SMN","30 June 2016","Gulf Keyst..",NA
"143","SMN","30 June 2016","IOF",NA
"144","SMN","30 June 2016","Iofina",NA
"145","SMN","30 June 2016","LSE",NA
"146","SMN","30 June 2016","LSE",NA
"147","SMN","30 June 2016","LSE",NA
"148","SMN","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","SMN","30 June 2016","QPP",NA
"150","SMN","30 June 2016","Quindell",NA
"151","SMN","30 June 2016","UK Sterlin..",NA
"152","SMN","30 June 2016","UKX",NA
