"","ticker","date","variable","value"
"1","SND","30 June 2016","Address","271 Edgar Street, 2200"
"2","SND","30 June 2016","Auditor:","Deloitte Touche Tohmatsu"
"3","SND","30 June 2016","City/Country:","Condell Park, Australia"
"4","SND","30 June 2016","Company sector name:","Industrials"
"5","SND","30 June 2016","End of fiscal year:","30 June 2016"
"6","SND","30 June 2016","Industry group name","Engineering & Construction"
"7","SND","30 June 2016","Industry name:","Engineering & Construction"
"8","SND","30 June 2016","Web address:","http://www.saunders-international.com.au"
"9","SND","30 June 2016","Assets Turnover","-"
"10","SND","30 June 2016","Book-Value pS","-"
"11","SND","30 June 2016","Cash Flow pS","-"
"12","SND","30 June 2016","Cash pS","-"
"13","SND","30 June 2016","Current Ratio","3.25"
"14","SND","30 June 2016","Dividend pS (DPS)","-"
"15","SND","30 June 2016","Dividend Yield","-"
"16","SND","30 June 2016","Domestic Sales","-"
"17","SND","30 June 2016","Earnings pS (EPS)","-"
"18","SND","30 June 2016","EBITDA Margin","-"
"19","SND","30 June 2016","Effective Tax Rate","-"
"20","SND","30 June 2016","Foreign Sales","-"
"21","SND","30 June 2016","Free Cash Flow pS","-"
"22","SND","30 June 2016","Gross gearing","-"
"23","SND","30 June 2016","Gross Profit Margin","-"
"24","SND","30 June 2016","Interest Cover","-"
"25","SND","30 June 2016","Latest Shares Outstanding","80.24"
"26","SND","30 June 2016","Leverage Ratio (Assets/Equity)","1.41"
"27","SND","30 June 2016","LT Debt/Total Capital","-"
"28","SND","30 June 2016","Market Capitalisation","45.73"
"29","SND","30 June 2016","Net Debt","-"
"30","SND","30 June 2016","PE Ratio","-"
"31","SND","30 June 2016","Pre-Tax Profit Margin","-"
"32","SND","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","SND","30 June 2016","Return on Assets (ROA)","0.11"
"34","SND","30 June 2016","Return on Capital Invested (ROC...","0.14"
"35","SND","30 June 2016","Return on Equity (ROE)","0.16"
"36","SND","30 June 2016","Sales per Employee","-"
"37","SND","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","SND","30 June 2016","SND KEY FIGURES (at previous day's close)",NA
"39","SND","30 June 2016","Spread","0.17"
"40","SND","30 June 2016","Tangible Book-Value pS","-"
"41","SND","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"42","SND","30 June 2016","Working Capital pS","-"
"43","SND","30 June 2016","Yesterday's Close","0.57"
"44","SND","30 June 2016","1 Month","0.57"
"45","SND","30 June 2016","1 Month","0.59"
"46","SND","30 June 2016","1 Week","0.59"
"47","SND","30 June 2016","1 Week","0.58"
"48","SND","30 June 2016","1 Year","0.59"
"49","SND","30 June 2016","1 Year","0.63"
"50","SND","30 June 2016","3 Months","0.61"
"51","SND","30 June 2016","3 Months","0.52"
"52","SND","30 June 2016","3 Years","1.05"
"53","SND","30 June 2016","3 Years","0.87"
"54","SND","30 June 2016","5 Years","1.05"
"55","SND","30 June 2016","5 Years","0.47"
"56","SND","30 June 2016","6 Months","0.61"
