"","ticker","date","variable","value"
"1","SYA","30 June 2015","Address","349 Coronation Drive  Level 1, 4064"
"2","SYA","30 June 2015","City/Country:","Milton, Australia"
"3","SYA","30 June 2015","Company sector name:","Basic Materials"
"4","SYA","30 June 2015","End of fiscal year:","30 June 2015"
"5","SYA","30 June 2015","Industry group name","Metals & Mining"
"6","SYA","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","SYA","30 June 2015","Assets Turnover","-"
"8","SYA","30 June 2015","Book-Value pS","-"
"9","SYA","30 June 2015","Cash Flow pS","-"
"10","SYA","30 June 2015","Cash pS","-"
"11","SYA","30 June 2015","Current Ratio","16.31"
"12","SYA","30 June 2015","Dividend pS (DPS)","-"
"13","SYA","30 June 2015","Dividend Yield","-"
"14","SYA","30 June 2015","Domestic Sales","-"
"15","SYA","30 June 2015","Earnings pS (EPS)","-"
"16","SYA","30 June 2015","EBITDA Margin","-"
"17","SYA","30 June 2015","Effective Tax Rate","-"
"18","SYA","30 June 2015","Foreign Sales","-"
"19","SYA","30 June 2015","Free Cash Flow pS","-"
"20","SYA","30 June 2015","Gross gearing","-"
"21","SYA","30 June 2015","Gross Profit Margin","-"
"22","SYA","30 June 2015","Interest Cover","-"
"23","SYA","30 June 2015","Latest Shares Outstanding","801.87"
"24","SYA","30 June 2015","Leverage Ratio (Assets/Equity)","1.07"
"25","SYA","30 June 2015","LT Debt/Total Capital","-"
"26","SYA","30 June 2015","Market Capitalisation","19.24"
"27","SYA","30 June 2015","Net Debt","-"
"28","SYA","30 June 2015","PE Ratio","-"
"29","SYA","30 June 2015","Pre-Tax Profit Margin","-"
"30","SYA","30 June 2015","Research & Devlopment (R&D) as ...","-"
"31","SYA","30 June 2015","Return on Assets (ROA)","-0.46"
"32","SYA","30 June 2015","Return on Capital Invested (ROC...","-0.54"
"33","SYA","30 June 2015","Return on Equity (ROE)","-0.52"
"34","SYA","30 June 2015","Sales per Employee","-"
"35","SYA","30 June 2015","Selling, General & Adm/tive (SG...","-"
"36","SYA","30 June 2015","Spread","0.01"
"37","SYA","30 June 2015","SYA KEY FIGURES (at previous day's close)",NA
"38","SYA","30 June 2015","Tangible Book-Value pS","-"
"39","SYA","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"40","SYA","30 June 2015","Working Capital pS","-"
"41","SYA","30 June 2015","Yesterday's Close","0.02"
"42","SYA","30 June 2015","1 Month","0.02"
"43","SYA","30 June 2015","1 Month","0.03"
"44","SYA","30 June 2015","1 Week","0.03"
"45","SYA","30 June 2015","1 Year","0.02"
"46","SYA","30 June 2015","1 Year","0.08"
"47","SYA","30 June 2015","3 Months","0.04"
"48","SYA","30 June 2015","3 Years","0.15"
"49","SYA","30 June 2015","3 Years","0.00"
"50","SYA","30 June 2015","5 Years","0.01"
"51","SYA","30 June 2015","5 Years","0.15"
"52","SYA","30 June 2015","6 Months","0.02"
"53","SYA","30 June 2015","6 Months","0.08"
"54","SYA","30 June 2015","Period †","High"
"55","SYA","30 June 2015","Period †","Open"
"56","SYA","30 June 2015","","1 year"
"57","SYA","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"58","SYA","30 June 2015","CFO growth","-"
"59","SYA","30 June 2015","Diluted continuous EPS growth","-"
"60","SYA","30 June 2015","Diluted EPS growth","-"
"61","SYA","30 June 2015","Dividend growth","-"
"62","SYA","30 June 2015","Equity per share growth","-0.40"
"63","SYA","30 June 2015","FCF growth","-"
"64","SYA","30 June 2015","Net income cont growth","-"
"65","SYA","30 June 2015","Net income growth","-"
"66","SYA","30 June 2015","Operating income growth","-"
"67","SYA","30 June 2015","Operating revenue growth","0.00"
"68","SYA","30 June 2015","Revenue growth","0.00"
"69","SYA","30 June 2015","SYA Growth Ratios (30 June 2015)",NA
"70","SYA","30 June 2015","Assets turnover","-"
"71","SYA","30 June 2015","Capital expenditure sales ratio","-"
"72","SYA","30 June 2015","Cash conversion cycle","-"
"73","SYA","30 June 2015","Days in inventory","-"
"74","SYA","30 June 2015","Days in payment","-"
"75","SYA","30 June 2015","Days in sales","-"
"76","SYA","30 June 2015","FCF net income ratio","-"
"77","SYA","30 June 2015","FCF sales ratio","-"
"78","SYA","30 June 2015","Fixed assets turnover","-"
"79","SYA","30 June 2015","Inventory turnover","-"
"80","SYA","30 June 2015","Payable turnover","-"
"81","SYA","30 June 2015","Receivable turnover","-"
"82","SYA","30 June 2015","ROA","-0.46"
"83","SYA","30 June 2015","ROE","-0.52"
"84","SYA","30 June 2015","ROIC","-0.54"
"85","SYA","30 June 2015","SYA Efficency Ratios (30 June 2015)",NA
"86","SYA","30 June 2015","Current ratio","16.31"
"87","SYA","30 June 2015","Debt equity ratio","-"
"88","SYA","30 June 2015","Debt total capital ratio","-"
"89","SYA","30 June 2015","Financial leverage","1.07"
"90","SYA","30 June 2015","Quick ratio","16.19"
"91","SYA","30 June 2015","SYA Financial Health Ratios (30 June 2015)",NA
"92","SYA","30 June 2015","Total debt to equity","-"
"93","SYA","30 June 2015","Avg gross margin","-"
"94","SYA","30 June 2015","Avg net profit","-"
"95","SYA","30 June 2015","Avg post tax margin","-"
"96","SYA","30 June 2015","Avg pre tax marginr","-"
"97","SYA","30 June 2015","Avg ret assets","-0.34"
"98","SYA","30 June 2015","Avg ret commonr","-"
"99","SYA","30 June 2015","Avg ret invested capital","-"
"100","SYA","30 June 2015","Growth ann capital spending","-"
"101","SYA","30 June 2015","Growth ann gross profit","-"
"102","SYA","30 June 2015","SYA Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"103","SYA","30 June 2015","EBIT margin","-"
"104","SYA","30 June 2015","EBITDA margin","-"
"105","SYA","30 June 2015","EBT margin","-"
"106","SYA","30 June 2015","Gross margin","-"
"107","SYA","30 June 2015","Inc per employee tot ops","-"
"108","SYA","30 June 2015","Interest coverage","-"
"109","SYA","30 June 2015","Net margin","-"
"110","SYA","30 June 2015","Normalized net profit margin","-"
"111","SYA","30 June 2015","Operating margin","-"
"112","SYA","30 June 2015","Sales per employee","-"
"113","SYA","30 June 2015","SYA Profitability Ratios (-)",NA
"114","SYA","30 June 2015","Tax rate","-"
"115","SYA","30 June 2015","Book value per share","0.00"
"116","SYA","30 June 2015","Cash return","-"
"117","SYA","30 June 2015","CF per share","-0.00"
"118","SYA","30 June 2015","Div payout 5 year","-"
"119","SYA","30 June 2015","Div payout tot ops","-"
"120","SYA","30 June 2015","Div rate","-"
"121","SYA","30 June 2015","Dividend yield","-"
"122","SYA","30 June 2015","Growth ann sales per share 5 ye...","-"
"123","SYA","30 June 2015","Payout ratio","0.00"
"124","SYA","30 June 2015","Price to book","0.30"
"125","SYA","30 June 2015","Price to cash flow","-0.67"
"126","SYA","30 June 2015","Price to EPS","3.45"
"127","SYA","30 June 2015","Price to free cash flow","-0.67"
"128","SYA","30 June 2015","Price to sales","-"
"129","SYA","30 June 2015","Ratio PE 5 year high","667.21"
"130","SYA","30 June 2015","Ratio PE 5 year low","3.45"
"131","SYA","30 June 2015","Sales per share","0.00"
"132","SYA","30 June 2015","Sustainable growth rate","0.25"
"133","SYA","30 June 2015","SYA Valuation Ratios (30 June 2015)",NA
"134","SYA","30 June 2015","FTSE",NA
"135","SYA","30 June 2015","FTSE 100",NA
"136","SYA","30 June 2015","FX",NA
"137","SYA","30 June 2015","GBPUSD",NA
"138","SYA","30 June 2015","GKP",NA
"139","SYA","30 June 2015","Gulf Keyst..",NA
"140","SYA","30 June 2015","IOF",NA
"141","SYA","30 June 2015","Iofina",NA
"142","SYA","30 June 2015","LSE",NA
"143","SYA","30 June 2015","LSE",NA
"144","SYA","30 June 2015","LSE",NA
"145","SYA","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"146","SYA","30 June 2015","QPP",NA
"147","SYA","30 June 2015","Quindell",NA
"148","SYA","30 June 2015","UK Sterlin..",NA
"149","SYA","30 June 2015","UKX",NA
