"","ticker","date","variable","value"
"1","T3D","30 June 2016","Address","44 St George’s Terrace  Level 24, 6000"
"2","T3D","30 June 2016","City/Country:","Perth, Australia"
"3","T3D","30 June 2016","Company sector name:","Industrials"
"4","T3D","30 June 2016","End of fiscal year:","30 June 2016"
"5","T3D","30 June 2016","Industry group name","Industrial Products"
"6","T3D","30 June 2016","Industry name:","Diversified Industrials"
"7","T3D","30 June 2016","Web address:","http://www.333d.com.au"
"8","T3D","30 June 2016","Assets Turnover","-"
"9","T3D","30 June 2016","Book-Value pS","-0.00"
"10","T3D","30 June 2016","Cash Flow pS","-0.00"
"11","T3D","30 June 2016","Cash pS","0.02"
"12","T3D","30 June 2016","Current Ratio","0.91"
"13","T3D","30 June 2016","Dividend pS (DPS)","-"
"14","T3D","30 June 2016","Dividend Yield","-"
"15","T3D","30 June 2016","Domestic Sales","-"
"16","T3D","30 June 2016","Earnings pS (EPS)","-0.00"
"17","T3D","30 June 2016","EBITDA Margin","-"
"18","T3D","30 June 2016","Effective Tax Rate","-"
"19","T3D","30 June 2016","Foreign Sales","-"
"20","T3D","30 June 2016","Free Cash Flow pS","-0.00"
"21","T3D","30 June 2016","Gross gearing","109.73"
"22","T3D","30 June 2016","Gross Profit Margin","-"
"23","T3D","30 June 2016","Interest Cover","-"
"24","T3D","30 June 2016","Latest Shares Outstanding","832.73"
"25","T3D","30 June 2016","Leverage Ratio (Assets/Equity)","-"
"26","T3D","30 June 2016","LT Debt/Total Capital","-"
"27","T3D","30 June 2016","Market Capitalisation","1.67"
"28","T3D","30 June 2016","Net Debt","0.47"
"29","T3D","30 June 2016","PE Ratio","-3.59"
"30","T3D","30 June 2016","Pre-Tax Profit Margin","-"
"31","T3D","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","T3D","30 June 2016","Return on Assets (ROA)","-0.32"
"33","T3D","30 June 2016","Return on Capital Invested (ROC...","-2.34"
"34","T3D","30 June 2016","Return on Equity (ROE)","-566.60"
"35","T3D","30 June 2016","Sales per Employee","-"
"36","T3D","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","T3D","30 June 2016","Spread","0.00"
"38","T3D","30 June 2016","T3D KEY FIGURES (at previous day's close)",NA
"39","T3D","30 June 2016","Tangible Book-Value pS","-"
"40","T3D","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","T3D","30 June 2016","Working Capital pS","-0.00"
"42","T3D","30 June 2016","Yesterday's Close","0.01"
"43","T3D","30 June 2016","1 Month","0.02"
"44","T3D","30 June 2016","1 Week","0.02"
"45","T3D","30 June 2016","1 Year","0.04"
"46","T3D","30 June 2016","3 Months","0.04"
"47","T3D","30 June 2016","3 Years","0.04"
"48","T3D","30 June 2016","5 Years","0.04"
"49","T3D","30 June 2016","6 Months","0.04"
"50","T3D","30 June 2016","Period †","High"
"51","T3D","30 June 2016","Period †","Open"
"52","T3D","30 June 2016","","1 year"
"53","T3D","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"54","T3D","30 June 2016","CFO growth","-"
"55","T3D","30 June 2016","Diluted continuous EPS growth","-"
"56","T3D","30 June 2016","Diluted EPS growth","-"
"57","T3D","30 June 2016","Dividend growth","-"
"58","T3D","30 June 2016","Equity per share growth","-"
"59","T3D","30 June 2016","FCF growth","-"
"60","T3D","30 June 2016","Net income cont growth","-"
"61","T3D","30 June 2016","Net income growth","-"
"62","T3D","30 June 2016","Operating income growth","-"
"63","T3D","30 June 2016","Operating revenue growth","0.00"
"64","T3D","30 June 2016","Revenue growth","0.00"
"65","T3D","30 June 2016","T3D Growth Ratios (30 June 2016)",NA
"66","T3D","30 June 2016","Basic EPS","-0.00"
"67","T3D","30 June 2016","Basic EPS from Continuing Ope...","-0.00"
"68","T3D","30 June 2016","Basic EPS from Discontinued O...","0.00"
"69","T3D","30 June 2016","Basic EPS,Continuing and Disc...","-0.00"
"70","T3D","30 June 2016","Basic Weighted Average Shares...","119.21"
"71","T3D","30 June 2016","Calculated Tax Effect Of Unus...","0.00"
"72","T3D","30 June 2016","Commission Expenses","0.14"
"73","T3D","30 June 2016","Diluted EPS","-0.00"
"74","T3D","30 June 2016","Diluted EPS from Continuing O...","-0.00"
"75","T3D","30 June 2016","Diluted EPS from Discontinued...","0.00"
"76","T3D","30 June 2016","Diluted EPS,Continuing and Di...","-0.00"
"77","T3D","30 June 2016","Diluted Weighted Average Shar...","119.21"
"78","T3D","30 June 2016","Discontinued Operations","0.00"
"79","T3D","30 June 2016","Earning Before Interest and T...","-0.47"
"80","T3D","30 June 2016","Earning Before Interest Tax D...","-0.47"
