"","ticker","date","variable","value"
"1","TDO","30 June 2016","Address","Level 5, 164 Flinders Lane, 3000"
"2","TDO","30 June 2016","City/Country:","Melbourne, Australia"
"3","TDO","30 June 2016","Company sector name:","Energy"
"4","TDO","30 June 2016","End of fiscal year:","30 June 2016"
"5","TDO","30 June 2016","Industry group name","Oil & Gas - E&P"
"6","TDO","30 June 2016","Industry name:","Oil & Gas E&P"
"7","TDO","30 June 2016","Web address:","http://www.3doil.com.au"
"8","TDO","30 June 2016","Assets Turnover","-"
"9","TDO","30 June 2016","Book-Value pS","0.05"
"10","TDO","30 June 2016","Cash Flow pS","-0.01"
"11","TDO","30 June 2016","Cash pS","0.02"
"12","TDO","30 June 2016","Current Ratio","4.31"
"13","TDO","30 June 2016","Dividend pS (DPS)","-"
"14","TDO","30 June 2016","Dividend Yield","-"
"15","TDO","30 June 2016","Domestic Sales","-"
"16","TDO","30 June 2016","Earnings pS (EPS)","-0.04"
"17","TDO","30 June 2016","EBITDA Margin","-"
"18","TDO","30 June 2016","Effective Tax Rate","-"
"19","TDO","30 June 2016","Foreign Sales","-"
"20","TDO","30 June 2016","Free Cash Flow pS","-0.03"
"21","TDO","30 June 2016","Gross gearing","7.10"
"22","TDO","30 June 2016","Gross Profit Margin","-"
"23","TDO","30 June 2016","Interest Cover","-"
"24","TDO","30 June 2016","Latest Shares Outstanding","237.52"
"25","TDO","30 June 2016","Leverage Ratio (Assets/Equity)","1.08"
"26","TDO","30 June 2016","LT Debt/Total Capital","-"
"27","TDO","30 June 2016","Market Capitalisation","7.60"
"28","TDO","30 June 2016","Net Debt","-3.02"
"29","TDO","30 June 2016","PE Ratio","-0.74"
"30","TDO","30 June 2016","Pre-Tax Profit Margin","-"
"31","TDO","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","TDO","30 June 2016","Return on Assets (ROA)","-0.53"
"33","TDO","30 June 2016","Return on Capital Invested (ROC...","-0.57"
"34","TDO","30 June 2016","Return on Equity (ROE)","-0.57"
"35","TDO","30 June 2016","Sales per Employee","-"
"36","TDO","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","TDO","30 June 2016","Spread","0.01"
