"","ticker","date","variable","value"
"1","TER","30 June 2015","Address","370 Flinders Street  Level 7, 4810"
"2","TER","30 June 2015","City/Country:","Townsville, Australia"
"3","TER","30 June 2015","Company sector name:","Basic Materials"
"4","TER","30 June 2015","End of fiscal year:","30 June 2015"
"5","TER","30 June 2015","Industry group name","Coal"
"6","TER","30 June 2015","Industry name:","Coal"
"7","TER","30 June 2015","Assets Turnover","-"
"8","TER","30 June 2015","Book-Value pS","-"
"9","TER","30 June 2015","Cash Flow pS","-"
"10","TER","30 June 2015","Cash pS","-"
"11","TER","30 June 2015","Current Ratio","0.02"
"12","TER","30 June 2015","Dividend pS (DPS)","-"
"13","TER","30 June 2015","Dividend Yield","-"
"14","TER","30 June 2015","Domestic Sales","-"
"15","TER","30 June 2015","Earnings pS (EPS)","-"
"16","TER","30 June 2015","EBITDA Margin","-"
"17","TER","30 June 2015","Effective Tax Rate","-"
"18","TER","30 June 2015","Foreign Sales","-"
"19","TER","30 June 2015","Free Cash Flow pS","-"
"20","TER","30 June 2015","Gross gearing","-"
"21","TER","30 June 2015","Gross Profit Margin","-"
"22","TER","30 June 2015","Interest Cover","-"
"23","TER","30 June 2015","Latest Shares Outstanding","2,581.60"
"24","TER","30 June 2015","Leverage Ratio (Assets/Equity)","9.09"
"25","TER","30 June 2015","LT Debt/Total Capital","0.67"
"26","TER","30 June 2015","Market Capitalisation","100.68"
"27","TER","30 June 2015","Net Debt","-"
"28","TER","30 June 2015","PE Ratio","-"
"29","TER","30 June 2015","Pre-Tax Profit Margin","-"
"30","TER","30 June 2015","Research & Devlopment (R&D) as ...","-"
"31","TER","30 June 2015","Return on Assets (ROA)","-0.24"
"32","TER","30 June 2015","Return on Capital Invested (ROC...","-0.22"
"33","TER","30 June 2015","Return on Equity (ROE)","-1.23"
"34","TER","30 June 2015","Sales per Employee","-"
"35","TER","30 June 2015","Selling, General & Adm/tive (SG...","-"
"36","TER","30 June 2015","Spread","0.00"
"37","TER","30 June 2015","Tangible Book-Value pS","-"
"38","TER","30 June 2015","TER KEY FIGURES (at previous day's close)",NA
"39","TER","30 June 2015","Total Debt/Equity (Gearing Rati...","6.31"
"40","TER","30 June 2015","Working Capital pS","-"
"41","TER","30 June 2015","Yesterday's Close","0.04"
"42","TER","30 June 2015","1 Month","0.02"
"43","TER","30 June 2015","1 Month","0.04"
"44","TER","30 June 2015","1 Week","0.04"
"45","TER","30 June 2015","1 Year","0.04"
"46","TER","30 June 2015","1 Year","0.01"
"47","TER","30 June 2015","3 Months","0.02"
"48","TER","30 June 2015","3 Months","0.04"
"49","TER","30 June 2015","3 Years","0.04"
"50","TER","30 June 2015","3 Years","0.01"
"51","TER","30 June 2015","5 Years","0.04"
"52","TER","30 June 2015","5 Years","0.01"
"53","TER","30 June 2015","6 Months","0.04"
"54","TER","30 June 2015","6 Months","0.01"
"55","TER","30 June 2015","Period †","High"
"56","TER","30 June 2015","Period †","Open"
"57","TER","30 June 2015","","1 year"
