"","ticker","date","variable","value"
"1","TFG","30 June 2016","Doing business in:","Australia (AU)"
"2","TFG","30 June 2016","End of fiscal year:","30 June 2016"
"3","TFG","30 June 2016","Place of incorporation:","Australia (AU)"
"4","TFG","30 June 2016","Tel.:","+61 385473600"
"5","TFG","30 June 2016","Trading currency:","AUD"
"6","TFG","30 June 2016","Web address:","http://www.totalfacegroup.com.au"
"7","TFG","30 June 2016","Year established:","2014"
"8","TFG","30 June 2016","Assets Turnover","-"
"9","TFG","30 June 2016","Book-Value pS","-"
"10","TFG","30 June 2016","Cash Flow pS","-"
"11","TFG","30 June 2016","Cash pS","-"
"12","TFG","30 June 2016","Current Ratio","1.32"
"13","TFG","30 June 2016","Dividend pS (DPS)","-"
"14","TFG","30 June 2016","Dividend Yield","-"
"15","TFG","30 June 2016","Domestic Sales","-"
"16","TFG","30 June 2016","Earnings pS (EPS)","-"
"17","TFG","30 June 2016","EBITDA Margin","-"
"18","TFG","30 June 2016","Effective Tax Rate","-"
"19","TFG","30 June 2016","Foreign Sales","-"
"20","TFG","30 June 2016","Free Cash Flow pS","-"
"21","TFG","30 June 2016","Gross gearing","-"
"22","TFG","30 June 2016","Gross Profit Margin","-"
"23","TFG","30 June 2016","Interest Cover","-"
"24","TFG","30 June 2016","Latest Shares Outstanding","121.84"
"25","TFG","30 June 2016","Leverage Ratio (Assets/Equity)","1.34"
"26","TFG","30 June 2016","LT Debt/Total Capital","0.08"
"27","TFG","30 June 2016","Market Capitalisation","35.94"
"28","TFG","30 June 2016","Net Debt","-"
"29","TFG","30 June 2016","PE Ratio","-"
"30","TFG","30 June 2016","Pre-Tax Profit Margin","-"
"31","TFG","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","TFG","30 June 2016","Return on Assets (ROA)","-0.11"
"33","TFG","30 June 2016","Return on Capital Invested (ROC...","-0.11"
"34","TFG","30 June 2016","Return on Equity (ROE)","-0.14"
"35","TFG","30 June 2016","Sales per Employee","-"
"36","TFG","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","TFG","30 June 2016","Spread","0.05"
"38","TFG","30 June 2016","Tangible Book-Value pS","-"
"39","TFG","30 June 2016","TFG KEY FIGURES (at previous day's close)",NA
"40","TFG","30 June 2016","Total Debt/Equity (Gearing Rati...","0.13"
"41","TFG","30 June 2016","Working Capital pS","-"
"42","TFG","30 June 2016","Yesterday's Close","0.30"
"43","TFG","30 June 2016","1 Month","0.30"
"44","TFG","30 June 2016","1 Month","0.25"
"45","TFG","30 June 2016","1 Week","0.30"
"46","TFG","30 June 2016","1 Week","0.26"
"47","TFG","30 June 2016","1 Year","0.42"
"48","TFG","30 June 2016","1 Year","0.39"
"49","TFG","30 June 2016","3 Months","0.30"
"50","TFG","30 June 2016","3 Months","0.27"
"51","TFG","30 June 2016","3 Years","0.42"
"52","TFG","30 June 2016","3 Years","0.39"
"53","TFG","30 June 2016","5 Years","0.42"
"54","TFG","30 June 2016","5 Years","0.39"
"55","TFG","30 June 2016","6 Months","0.34"
"56","TFG","30 June 2016","6 Months","0.32"
"57","TFG","30 June 2016","Period †","High"
"58","TFG","30 June 2016","Period †","Open"
"59","TFG","30 June 2016","","1 year"
"60","TFG","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","TFG","30 June 2016","CFO growth","-"
"62","TFG","30 June 2016","Diluted continuous EPS growth","-"
"63","TFG","30 June 2016","Diluted EPS growth","-"
"64","TFG","30 June 2016","Dividend growth","-"
"65","TFG","30 June 2016","Equity per share growth","-0.48"
"66","TFG","30 June 2016","FCF growth","-"
"67","TFG","30 June 2016","Net income cont growth","-"
"68","TFG","30 June 2016","Net income growth","-"
"69","TFG","30 June 2016","Operating income growth","-"
"70","TFG","30 June 2016","Operating revenue growth","-"
"71","TFG","30 June 2016","Revenue growth","-"
"72","TFG","30 June 2016","TFG Growth Ratios (30 June 2016)",NA
"73","TFG","30 June 2016","Assets turnover","0.52"
"74","TFG","30 June 2016","Capital expenditure sales ratio","0.22"
"75","TFG","30 June 2016","Cash conversion cycle","-70.64"
"76","TFG","30 June 2016","Days in inventory","111.54"
"77","TFG","30 June 2016","Days in payment","190.78"
"78","TFG","30 June 2016","Days in sales","8.60"
"79","TFG","30 June 2016","FCF net income ratio","-"
"80","TFG","30 June 2016","FCF sales ratio","-"
"81","TFG","30 June 2016","Fixed assets turnover","3.67"
"82","TFG","30 June 2016","Inventory turnover","3.27"
"83","TFG","30 June 2016","Payable turnover","1.91"
"84","TFG","30 June 2016","Receivable turnover","42.43"
"85","TFG","30 June 2016","ROA","-0.11"
"86","TFG","30 June 2016","ROE","-0.14"
"87","TFG","30 June 2016","ROIC","-0.11"
"88","TFG","30 June 2016","TFG Efficency Ratios (30 June 2016)",NA
"89","TFG","30 June 2016","Current ratio","1.32"
"90","TFG","30 June 2016","Debt equity ratio","0.08"
"91","TFG","30 June 2016","Debt total capital ratio","0.08"
"92","TFG","30 June 2016","Financial leverage","1.34"
"93","TFG","30 June 2016","Quick ratio","0.92"
"94","TFG","30 June 2016","TFG Financial Health Ratios (30 June 2016)",NA
"95","TFG","30 June 2016","Total debt to equity","0.13"
"96","TFG","30 June 2016","Avg gross margin","-"
"97","TFG","30 June 2016","Avg net profit","-"
"98","TFG","30 June 2016","Avg post tax margin","-"
"99","TFG","30 June 2016","Avg pre tax marginr","-"
"100","TFG","30 June 2016","Avg ret assets","-"
"101","TFG","30 June 2016","Avg ret commonr","-"
"102","TFG","30 June 2016","Avg ret invested capital","-"
"103","TFG","30 June 2016","Growth ann capital spending","-"
"104","TFG","30 June 2016","Growth ann gross profit","-"
"105","TFG","30 June 2016","TFG Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"106","TFG","30 June 2016","EBIT margin","-0.18"
"107","TFG","30 June 2016","EBITDA margin","-0.11"
"108","TFG","30 June 2016","EBT margin","-0.20"
"109","TFG","30 June 2016","Gross margin","0.71"
"110","TFG","30 June 2016","Inc per employee tot ops","-"
"111","TFG","30 June 2016","Interest coverage","-8.97"
"112","TFG","30 June 2016","Net margin","-0.20"
"113","TFG","30 June 2016","Normalized net profit margin","-0.20"
"114","TFG","30 June 2016","Operating margin","-0.19"
"115","TFG","30 June 2016","Sales per employee","-"
"116","TFG","30 June 2016","Tax rate","-"
"117","TFG","30 June 2016","TFG Profitability Ratios (30 June 2016)",NA
"118","TFG","30 June 2016","Book value per share","0.17"
"119","TFG","30 June 2016","Cash return","0.00"
"120","TFG","30 June 2016","CF per share","0.00"
"121","TFG","30 June 2016","Div payout 5 year","-"
"122","TFG","30 June 2016","Div payout tot ops","-"
"123","TFG","30 June 2016","Div rate","-"
"124","TFG","30 June 2016","Dividend yield","-"
"125","TFG","30 June 2016","Growth ann sales per share 5 ye...","-"
"126","TFG","30 June 2016","Payout ratio","-"
"127","TFG","30 June 2016","Price to book","1.69"
"128","TFG","30 June 2016","Price to cash flow","-"
"129","TFG","30 June 2016","Price to EPS","-"
"130","TFG","30 June 2016","Price to free cash flow","-"
"131","TFG","30 June 2016","Price to sales","-"
"132","TFG","30 June 2016","Ratio PE 5 year high","-"
"133","TFG","30 June 2016","Ratio PE 5 year low","-"
"134","TFG","30 June 2016","Sales per share","-"
"135","TFG","30 June 2016","Sustainable growth rate","-"
"136","TFG","30 June 2016","TFG Valuation Ratios (30 June 2016)",NA
"137","TFG","30 June 2016","FTSE",NA
"138","TFG","30 June 2016","FTSE 100",NA
"139","TFG","30 June 2016","FX",NA
"140","TFG","30 June 2016","GBPUSD",NA
"141","TFG","30 June 2016","GKP",NA
"142","TFG","30 June 2016","Gulf Keyst..",NA
"143","TFG","30 June 2016","IOF",NA
"144","TFG","30 June 2016","Iofina",NA
"145","TFG","30 June 2016","LSE",NA
"146","TFG","30 June 2016","LSE",NA
"147","TFG","30 June 2016","LSE",NA
"148","TFG","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","TFG","30 June 2016","QPP",NA
"150","TFG","30 June 2016","Quindell",NA
"151","TFG","30 June 2016","UK Sterlin..",NA
"152","TFG","30 June 2016","UKX",NA
