"","ticker","date","variable","value"
"1","TND","30 June 2015","Address","Level 8  580 Kilda Road, 3004"
"2","TND","30 June 2015","City/Country:","Melbourne, Australia"
"3","TND","30 June 2015","Company sector name:","Basic Materials"
"4","TND","30 June 2015","End of fiscal year:","30 June 2015"
"5","TND","30 June 2015","Industry group name","Metals & Mining"
"6","TND","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","TND","30 June 2015","Web address:","http://www.teu.com.au"
"8","TND","30 June 2015","Assets Turnover","-"
"9","TND","30 June 2015","Book-Value pS","-"
"10","TND","30 June 2015","Cash Flow pS","-"
"11","TND","30 June 2015","Cash pS","-"
"12","TND","30 June 2015","Current Ratio","0.78"
"13","TND","30 June 2015","Dividend pS (DPS)","-"
"14","TND","30 June 2015","Dividend Yield","-"
"15","TND","30 June 2015","Domestic Sales","-"
"16","TND","30 June 2015","Earnings pS (EPS)","-"
"17","TND","30 June 2015","EBITDA Margin","-"
"18","TND","30 June 2015","Effective Tax Rate","-"
"19","TND","30 June 2015","Foreign Sales","-"
"20","TND","30 June 2015","Free Cash Flow pS","-"
"21","TND","30 June 2015","Gross gearing","-"
"22","TND","30 June 2015","Gross Profit Margin","-"
"23","TND","30 June 2015","Interest Cover","-"
"24","TND","30 June 2015","Latest Shares Outstanding","216.04"
"25","TND","30 June 2015","Leverage Ratio (Assets/Equity)","1.81"
"26","TND","30 June 2015","LT Debt/Total Capital","-"
"27","TND","30 June 2015","Market Capitalisation","5.18"
"28","TND","30 June 2015","Net Debt","-"
"29","TND","30 June 2015","PE Ratio","-"
"30","TND","30 June 2015","Pre-Tax Profit Margin","-"
"31","TND","30 June 2015","Research & Devlopment (R&D) as ...","-"
"32","TND","30 June 2015","Return on Assets (ROA)","-1.24"
"33","TND","30 June 2015","Return on Capital Invested (ROC...","-2.15"
"34","TND","30 June 2015","Return on Equity (ROE)","-1.77"
"35","TND","30 June 2015","Sales per Employee","-"
"36","TND","30 June 2015","Selling, General & Adm/tive (SG...","-"
"37","TND","30 June 2015","Spread","0.01"
"38","TND","30 June 2015","Tangible Book-Value pS","-"
"39","TND","30 June 2015","TND KEY FIGURES (at previous day's close)",NA
"40","TND","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","TND","30 June 2015","Working Capital pS","-"
"42","TND","30 June 2015","Yesterday's Close","0.02"
"43","TND","30 June 2015","1 Month","0.03"
"44","TND","30 June 2015","1 Week","0.02"
"45","TND","30 June 2015","1 Week","0.03"
"46","TND","30 June 2015","1 Year","0.02"
"47","TND","30 June 2015","1 Year","0.09"
"48","TND","30 June 2015","3 Months","0.02"
"49","TND","30 June 2015","3 Months","0.03"
"50","TND","30 June 2015","3 Years","0.02"
"51","TND","30 June 2015","3 Years","0.09"
"52","TND","30 June 2015","5 Years","0.03"
"53","TND","30 June 2015","5 Years","0.09"
"54","TND","30 June 2015","6 Months","0.06"
"55","TND","30 June 2015","6 Months","0.05"
"56","TND","30 June 2015","Period †","High"
"57","TND","30 June 2015","Period †","Open"
"58","TND","30 June 2015","","1 year"
