"","ticker","date","variable","value"
"1","TNG","30 June 2016","Address","Level 1  282 Rokeby Road, 6008"
"2","TNG","30 June 2016","City/Country:","Subiaco, Australia"
"3","TNG","30 June 2016","Company sector name:","Basic Materials"
"4","TNG","30 June 2016","End of fiscal year:","30 June 2016"
"5","TNG","30 June 2016","Industry group name","Metals & Mining"
"6","TNG","30 June 2016","Industry name:","Gold"
"7","TNG","30 June 2016","Web address:","http://www.tngltd.com.au"
"8","TNG","30 June 2016","Assets Turnover","-"
"9","TNG","30 June 2016","Book-Value pS","0.04"
"10","TNG","30 June 2016","Cash Flow pS","-0.00"
"11","TNG","30 June 2016","Cash pS","0.01"
"12","TNG","30 June 2016","Current Ratio","7.02"
"13","TNG","30 June 2016","Dividend pS (DPS)","0.00"
"14","TNG","30 June 2016","Dividend Yield","-"
"15","TNG","30 June 2016","Domestic Sales","-"
"16","TNG","30 June 2016","Earnings pS (EPS)","-0.01"
"17","TNG","30 June 2016","EBITDA Margin","-"
"18","TNG","30 June 2016","Effective Tax Rate","-"
"19","TNG","30 June 2016","Foreign Sales","-"
"20","TNG","30 June 2016","Free Cash Flow pS","-0.01"
"21","TNG","30 June 2016","Gross gearing","4.12"
"22","TNG","30 June 2016","Gross Profit Margin","-"
"23","TNG","30 June 2016","Interest Cover","-"
"24","TNG","30 June 2016","Latest Shares Outstanding","751.77"
"25","TNG","30 June 2016","Leverage Ratio (Assets/Equity)","1.04"
"26","TNG","30 June 2016","LT Debt/Total Capital","-"
"27","TNG","30 June 2016","Market Capitalisation","96.00"
"28","TNG","30 June 2016","Net Debt","-5.84"
"29","TNG","30 June 2016","PE Ratio","-13.50"
"30","TNG","30 June 2016","Pre-Tax Profit Margin","-"
"31","TNG","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","TNG","30 June 2016","Return on Assets (ROA)","-0.23"
"33","TNG","30 June 2016","Return on Capital Invested (ROC...","-0.24"
"34","TNG","30 June 2016","Return on Equity (ROE)","-0.24"
"35","TNG","30 June 2016","Sales per Employee","-"
"36","TNG","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","TNG","30 June 2016","Spread","-0.01"
"38","TNG","30 June 2016","Tangible Book-Value pS","0.03"
"39","TNG","30 June 2016","TNG KEY FIGURES (at previous day's close)",NA
"40","TNG","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","TNG","30 June 2016","Working Capital pS","0.04"
"42","TNG","30 June 2016","Yesterday's Close","0.14"
"43","TNG","30 June 2016","1 Month","0.15"
"44","TNG","30 June 2016","1 Month","0.12"
"45","TNG","30 June 2016","1 Week","0.15"
"46","TNG","30 June 2016","1 Week","0.12"
"47","TNG","30 June 2016","1 Year","0.21"
"48","TNG","30 June 2016","1 Year","0.16"
"49","TNG","30 June 2016","3 Months","0.15"
"50","TNG","30 June 2016","3 Months","0.13"
"51","TNG","30 June 2016","3 Years","0.34"
"52","TNG","30 June 2016","3 Years","0.05"
"53","TNG","30 June 2016","5 Years","0.34"
"54","TNG","30 June 2016","5 Years","0.10"
"55","TNG","30 June 2016","6 Months","0.14"
"56","TNG","30 June 2016","6 Months","0.17"
"57","TNG","30 June 2016","Period †","High"
"58","TNG","30 June 2016","Period †","Open"
"59","TNG","30 June 2016","","1 year"
