"","ticker","date","variable","value"
"1","UCM","30 June 2016","Address","Level 7, 10 Loftus Street, 2000"
"2","UCM","30 June 2016","City/Country:","Sydney, Australia"
"3","UCM","30 June 2016","Company sector name:","Healthcare"
"4","UCM","30 June 2016","End of fiscal year:","30 June 2016"
"5","UCM","30 June 2016","Industry group name","Medical Devices"
"6","UCM","30 June 2016","Industry name:","Medical Devices"
"7","UCM","30 June 2016","Web address:","http://www.uscom.com.au"
"8","UCM","30 June 2016","Assets Turnover","-"
"9","UCM","30 June 2016","Book-Value pS","-"
"10","UCM","30 June 2016","Cash Flow pS","-"
"11","UCM","30 June 2016","Cash pS","-"
"12","UCM","30 June 2016","Current Ratio","5.42"
"13","UCM","30 June 2016","Dividend pS (DPS)","-"
"14","UCM","30 June 2016","Dividend Yield","-"
"15","UCM","30 June 2016","Domestic Sales","-"
"16","UCM","30 June 2016","Earnings pS (EPS)","-"
"17","UCM","30 June 2016","EBITDA Margin","-"
"18","UCM","30 June 2016","Effective Tax Rate","-"
"19","UCM","30 June 2016","Foreign Sales","-"
"20","UCM","30 June 2016","Free Cash Flow pS","-"
"21","UCM","30 June 2016","Gross gearing","-"
"22","UCM","30 June 2016","Gross Profit Margin","-"
"23","UCM","30 June 2016","Interest Cover","-"
"24","UCM","30 June 2016","Latest Shares Outstanding","108.96"
"25","UCM","30 June 2016","Leverage Ratio (Assets/Equity)","1.16"
"26","UCM","30 June 2016","LT Debt/Total Capital","-"
"27","UCM","30 June 2016","Market Capitalisation","28.33"
"28","UCM","30 June 2016","Net Debt","-"
"29","UCM","30 June 2016","PE Ratio","-"
"30","UCM","30 June 2016","Pre-Tax Profit Margin","-"
"31","UCM","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","UCM","30 June 2016","Return on Assets (ROA)","-0.44"
"33","UCM","30 June 2016","Return on Capital Invested (ROC...","-0.53"
"34","UCM","30 June 2016","Return on Equity (ROE)","-0.53"
"35","UCM","30 June 2016","Sales per Employee","-"
"36","UCM","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","UCM","30 June 2016","Spread","0.05"
"38","UCM","30 June 2016","Tangible Book-Value pS","-"
"39","UCM","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"40","UCM","30 June 2016","UCM KEY FIGURES (at previous day's close)",NA
"41","UCM","30 June 2016","Working Capital pS","-"
"42","UCM","30 June 2016","Yesterday's Close","0.26"
"43","UCM","30 June 2016","1 Month","0.30"
"44","UCM","30 June 2016","1 Week","0.27"
"45","UCM","30 June 2016","1 Year","0.35"
"46","UCM","30 June 2016","1 Year","0.13"
"47","UCM","30 June 2016","3 Months","0.35"
"48","UCM","30 June 2016","3 Months","0.24"
"49","UCM","30 June 2016","3 Years","0.35"
"50","UCM","30 June 2016","3 Years","0.18"
"51","UCM","30 June 2016","5 Years","0.35"
"52","UCM","30 June 2016","5 Years","0.15"
"53","UCM","30 June 2016","6 Months","0.35"
"54","UCM","30 June 2016","6 Months","0.19"
"55","UCM","30 June 2016","Period †","High"
"56","UCM","30 June 2016","Period †","Open"
"57","UCM","30 June 2016","","1 year"
"58","UCM","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","UCM","30 June 2016","CFO growth","-"
"60","UCM","30 June 2016","Diluted continuous EPS growth","-"
"61","UCM","30 June 2016","Diluted EPS growth","-"
"62","UCM","30 June 2016","Dividend growth","-"
"63","UCM","30 June 2016","Equity per share growth","0.63"
"64","UCM","30 June 2016","FCF growth","-"
"65","UCM","30 June 2016","Net income cont growth","-"
"66","UCM","30 June 2016","Net income growth","-"
"67","UCM","30 June 2016","Operating income growth","-"
"68","UCM","30 June 2016","Operating revenue growth","0.64"
"69","UCM","30 June 2016","Revenue growth","0.64"
"70","UCM","30 June 2016","UCM Growth Ratios (30 June 2016)",NA
"71","UCM","30 June 2016","Assets turnover","0.57"
"72","UCM","30 June 2016","Capital expenditure sales ratio","0.04"
"73","UCM","30 June 2016","Cash conversion cycle","220.09"
"74","UCM","30 June 2016","Days in inventory","243.43"
