"","ticker","date","variable","value"
"1","VAN","30 June 2015","Address","71 Macquarie Street  Suite 2, Level 5, 2000"
"2","VAN","30 June 2015","City/Country:","Sydney, Australia"
"3","VAN","30 June 2015","Company sector name:","Basic Materials"
"4","VAN","30 June 2015","End of fiscal year:","30 June 2015"
"5","VAN","30 June 2015","Industry group name","Metals & Mining"
"6","VAN","30 June 2015","Industry name:","Gold"
"7","VAN","30 June 2015","Web address:","http://www.vangomining.com.au"
"8","VAN","30 June 2015","Assets Turnover","-"
"9","VAN","30 June 2015","Book-Value pS","-"
"10","VAN","30 June 2015","Cash Flow pS","-"
"11","VAN","30 June 2015","Cash pS","-"
"12","VAN","30 June 2015","Current Ratio","0.55"
"13","VAN","30 June 2015","Dividend pS (DPS)","-"
"14","VAN","30 June 2015","Dividend Yield","-"
"15","VAN","30 June 2015","Domestic Sales","-"
"16","VAN","30 June 2015","Earnings pS (EPS)","-"
"17","VAN","30 June 2015","EBITDA Margin","-"
"18","VAN","30 June 2015","Effective Tax Rate","-"
"19","VAN","30 June 2015","Foreign Sales","-"
"20","VAN","30 June 2015","Free Cash Flow pS","-"
"21","VAN","30 June 2015","Gross gearing","-"
"22","VAN","30 June 2015","Gross Profit Margin","-"
"23","VAN","30 June 2015","Interest Cover","-"
"24","VAN","30 June 2015","Latest Shares Outstanding","375.58"
"25","VAN","30 June 2015","Leverage Ratio (Assets/Equity)","1.16"
"26","VAN","30 June 2015","LT Debt/Total Capital","-"
"27","VAN","30 June 2015","Market Capitalisation","18.78"
"28","VAN","30 June 2015","Net Debt","-"
"29","VAN","30 June 2015","PE Ratio","-"
"30","VAN","30 June 2015","Pre-Tax Profit Margin","-"
"31","VAN","30 June 2015","Research & Devlopment (R&D) as ...","-"
"32","VAN","30 June 2015","Return on Assets (ROA)","-0.35"
"33","VAN","30 June 2015","Return on Capital Invested (ROC...","-0.41"
"34","VAN","30 June 2015","Return on Equity (ROE)","-0.43"
"35","VAN","30 June 2015","Sales per Employee","-"
"36","VAN","30 June 2015","Selling, General & Adm/tive (SG...","-"
"37","VAN","30 June 2015","Spread","0.00"
"38","VAN","30 June 2015","Tangible Book-Value pS","-"
"39","VAN","30 June 2015","Total Debt/Equity (Gearing Rati...","0.02"
"40","VAN","30 June 2015","VAN KEY FIGURES (at previous day's close)",NA
"41","VAN","30 June 2015","Working Capital pS","-"
"42","VAN","30 June 2015","Yesterday's Close","0.05"
"43","VAN","30 June 2015","1 Month","0.05"
"44","VAN","30 June 2015","1 Month","0.04"
"45","VAN","30 June 2015","1 Week","0.05"
"46","VAN","30 June 2015","1 Year","0.08"
"47","VAN","30 June 2015","1 Year","0.01"
"48","VAN","30 June 2015","3 Months","0.06"
"49","VAN","30 June 2015","3 Years","0.02"
"50","VAN","30 June 2015","3 Years","0.08"
"51","VAN","30 June 2015","5 Years","0.02"
"52","VAN","30 June 2015","5 Years","0.08"
"53","VAN","30 June 2015","6 Months","0.02"
"54","VAN","30 June 2015","6 Months","0.08"
"55","VAN","30 June 2015","Period †","High"
"56","VAN","30 June 2015","Period †","Open"
"57","VAN","30 June 2015","","1 year"
"58","VAN","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","VAN","30 June 2015","CFO growth","-"
"60","VAN","30 June 2015","Diluted continuous EPS growth","-"
"61","VAN","30 June 2015","Diluted EPS growth","-"
"62","VAN","30 June 2015","Dividend growth","-"
"63","VAN","30 June 2015","Equity per share growth","-0.63"
"64","VAN","30 June 2015","FCF growth","-"
"65","VAN","30 June 2015","Net income cont growth","-"
"66","VAN","30 June 2015","Net income growth","-"
"67","VAN","30 June 2015","Operating income growth","-"
"68","VAN","30 June 2015","Operating revenue growth","0.00"
"69","VAN","30 June 2015","Revenue growth","0.00"
"70","VAN","30 June 2015","VAN Growth Ratios (30 June 2015)",NA
"71","VAN","30 June 2015","Assets turnover","-"
"72","VAN","30 June 2015","Capital expenditure sales ratio","-"
"73","VAN","30 June 2015","Cash conversion cycle","-"
"74","VAN","30 June 2015","Days in inventory","-"
"75","VAN","30 June 2015","Days in payment","-"
"76","VAN","30 June 2015","Days in sales","-"
"77","VAN","30 June 2015","FCF net income ratio","-"
"78","VAN","30 June 2015","FCF sales ratio","-"
"79","VAN","30 June 2015","Fixed assets turnover","-"
"80","VAN","30 June 2015","Inventory turnover","-"
"81","VAN","30 June 2015","Payable turnover","-"
"82","VAN","30 June 2015","Receivable turnover","-"
"83","VAN","30 June 2015","ROA","-0.35"
"84","VAN","30 June 2015","ROE","-0.43"
"85","VAN","30 June 2015","ROIC","-0.41"
"86","VAN","30 June 2015","VAN Efficency Ratios (30 June 2015)",NA
"87","VAN","30 June 2015","Current ratio","0.55"
"88","VAN","30 June 2015","Debt equity ratio","-"
"89","VAN","30 June 2015","Debt total capital ratio","-"
"90","VAN","30 June 2015","Financial leverage","1.16"
"91","VAN","30 June 2015","Quick ratio","0.38"
"92","VAN","30 June 2015","Total debt to equity","0.02"
"93","VAN","30 June 2015","VAN Financial Health Ratios (30 June 2015)",NA
"94","VAN","30 June 2015","Avg gross margin","-"
"95","VAN","30 June 2015","Avg net profit","-"
"96","VAN","30 June 2015","Avg post tax margin","-"
"97","VAN","30 June 2015","Avg pre tax marginr","-"
"98","VAN","30 June 2015","Avg ret assets","-0.43"
"99","VAN","30 June 2015","Avg ret commonr","-0.48"
"100","VAN","30 June 2015","Avg ret invested capital","-0.47"
"101","VAN","30 June 2015","Growth ann capital spending","0.18"
"102","VAN","30 June 2015","Growth ann gross profit","-"
"103","VAN","30 June 2015","VAN Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"104","VAN","30 June 2015","EBIT margin","-"
"105","VAN","30 June 2015","EBITDA margin","-"
"106","VAN","30 June 2015","EBT margin","-"
"107","VAN","30 June 2015","Gross margin","-"
"108","VAN","30 June 2015","Inc per employee tot ops","-"
"109","VAN","30 June 2015","Interest coverage","-1,112.05"
"110","VAN","30 June 2015","Net margin","-"
"111","VAN","30 June 2015","Normalized net profit margin","-"
"112","VAN","30 June 2015","Operating margin","-"
"113","VAN","30 June 2015","Sales per employee","-"
"114","VAN","30 June 2015","Tax rate","-"
"115","VAN","30 June 2015","VAN Profitability Ratios (30 June 2015)",NA
"116","VAN","30 June 2015","Book value per share","0.03"
"117","VAN","30 June 2015","Cash return","-3.06"
"118","VAN","30 June 2015","CF per share","-0.04"
"119","VAN","30 June 2015","Div payout 5 year","-"
"120","VAN","30 June 2015","Div payout tot ops","-"
"121","VAN","30 June 2015","Div rate","-"
"122","VAN","30 June 2015","Dividend yield","-"
"123","VAN","30 June 2015","Growth ann sales per share 5 ye...","-"
"124","VAN","30 June 2015","Payout ratio","0.00"
"125","VAN","30 June 2015","Price to book","0.23"
"126","VAN","30 June 2015","Price to cash flow","-0.17"
"127","VAN","30 June 2015","Price to EPS","-0.03"
"128","VAN","30 June 2015","Price to free cash flow","-0.08"
"129","VAN","30 June 2015","Price to sales","-"
"130","VAN","30 June 2015","Ratio PE 5 year high","-12.84"
"131","VAN","30 June 2015","Ratio PE 5 year low","-0.03"
"132","VAN","30 June 2015","Sales per share","0.00"
"133","VAN","30 June 2015","Sustainable growth rate","-1.01"
"134","VAN","30 June 2015","VAN Valuation Ratios (30 June 2015)",NA
"135","VAN","30 June 2015","FTSE",NA
"136","VAN","30 June 2015","FTSE 100",NA
"137","VAN","30 June 2015","FX",NA
"138","VAN","30 June 2015","GBPUSD",NA
"139","VAN","30 June 2015","GKP",NA
"140","VAN","30 June 2015","Gulf Keyst..",NA
"141","VAN","30 June 2015","IOF",NA
"142","VAN","30 June 2015","Iofina",NA
"143","VAN","30 June 2015","LSE",NA
"144","VAN","30 June 2015","LSE",NA
"145","VAN","30 June 2015","LSE",NA
"146","VAN","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"147","VAN","30 June 2015","QPP",NA
"148","VAN","30 June 2015","Quindell",NA
"149","VAN","30 June 2015","UK Sterlin..",NA
"150","VAN","30 June 2015","UKX",NA
