"","ticker","date","variable","value"
"1","WAF","30 June 2015","Address","14 Southbourne Street, 6019"
"2","WAF","30 June 2015","Auditor:","Stantons International"
"3","WAF","30 June 2015","City/Country:","Scarborough, Australia"
"4","WAF","30 June 2015","Company sector name:","Basic Materials"
"5","WAF","30 June 2015","End of fiscal year:","30 June 2015"
"6","WAF","30 June 2015","Industry group name","Metals & Mining"
"7","WAF","30 June 2015","Industry name:","Gold"
"8","WAF","30 June 2015","Web address:","http://www.westafricanresources.com"
"9","WAF","30 June 2015","Assets Turnover","-"
"10","WAF","30 June 2015","Book-Value pS","-0.01"
"11","WAF","30 June 2015","Cash Flow pS","-0.02"
"12","WAF","30 June 2015","Cash pS","0.01"
"13","WAF","30 June 2015","Current Ratio","5.43"
"14","WAF","30 June 2015","Dividend pS (DPS)","-"
"15","WAF","30 June 2015","Dividend Yield","-"
"16","WAF","30 June 2015","Domestic Sales","-"
"17","WAF","30 June 2015","Earnings pS (EPS)","-0.03"
"18","WAF","30 June 2015","EBITDA Margin","-"
"19","WAF","30 June 2015","Effective Tax Rate","-"
"20","WAF","30 June 2015","Foreign Sales","-"
"21","WAF","30 June 2015","Free Cash Flow pS","-0.02"
"22","WAF","30 June 2015","Gross gearing","187.97"
"23","WAF","30 June 2015","Gross Profit Margin","100.00"
"24","WAF","30 June 2015","Interest Cover","-27.60"
"25","WAF","30 June 2015","Latest Shares Outstanding","308.87"
"26","WAF","30 June 2015","Leverage Ratio (Assets/Equity)","-"
"27","WAF","30 June 2015","LT Debt/Total Capital","-"
"28","WAF","30 June 2015","Market Capitalisation","94.61"
"29","WAF","30 June 2015","Net Debt","3.65"
"30","WAF","30 June 2015","PE Ratio","-12.50"
"31","WAF","30 June 2015","Pre-Tax Profit Margin","-"
"32","WAF","30 June 2015","Research & Devlopment (R&D) as ...","0.00"
"33","WAF","30 June 2015","Return on Assets (ROA)","-2.23"
"34","WAF","30 June 2015","Return on Capital Invested (ROC...","-"
"35","WAF","30 June 2015","Return on Equity (ROE)","-"
"36","WAF","30 June 2015","Sales per Employee","203.11"
"37","WAF","30 June 2015","Selling, General & Adm/tive (SG...","70,487.09"
"38","WAF","30 June 2015","Spread","-0.01"
"39","WAF","30 June 2015","Tangible Book-Value pS","0.00"
"40","WAF","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","WAF","30 June 2015","WAF KEY FIGURES (at previous day's close)",NA
"42","WAF","30 June 2015","Working Capital pS","0.01"
"43","WAF","30 June 2015","Yesterday's Close","0.35"
"44","WAF","30 June 2015","1 Month","0.37"
"45","WAF","30 June 2015","1 Month","0.33"
"46","WAF","30 June 2015","1 Week","0.36"
"47","WAF","30 June 2015","1 Week","0.28"
"48","WAF","30 June 2015","1 Year","0.45"
"49","WAF","30 June 2015","1 Year","0.07"
"50","WAF","30 June 2015","3 Months","0.45"
"51","WAF","30 June 2015","3 Months","0.23"
"52","WAF","30 June 2015","3 Years","0.45"
"53","WAF","30 June 2015","3 Years","0.15"
"54","WAF","30 June 2015","5 Years","0.45"
"55","WAF","30 June 2015","5 Years","0.30"
"56","WAF","30 June 2015","6 Months","0.45"
"57","WAF","30 June 2015","6 Months","0.13"
"58","WAF","30 June 2015","Period †","High"
"59","WAF","30 June 2015","Period †","Open"
"60","WAF","30 June 2015","","1 year"
"61","WAF","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"62","WAF","30 June 2015","CFO growth","-"
"63","WAF","30 June 2015","Diluted continuous EPS growth","-"
"64","WAF","30 June 2015","Diluted EPS growth","-"
"65","WAF","30 June 2015","Dividend growth","-"
"66","WAF","30 June 2015","Equity per share growth","-"
"67","WAF","30 June 2015","FCF growth","-"
"68","WAF","30 June 2015","Net income cont growth","-"
"69","WAF","30 June 2015","Net income growth","-"
"70","WAF","30 June 2015","Operating income growth","-"
"71","WAF","30 June 2015","Operating revenue growth","-0.73"
"72","WAF","30 June 2015","Revenue growth","-0.73"
"73","WAF","30 June 2015","WAF Growth Ratios (30 June 2015)",NA
"74","WAF","30 June 2015","Basic EPS","-0.03"
"75","WAF","30 June 2015","Basic EPS from Continuing Ope...","-0.03"
"76","WAF","30 June 2015","Basic EPS,Continuing and Disc...","-0.03"
"77","WAF","30 June 2015","Basic Weighted Average Shares...","270.30"
"78","WAF","30 June 2015","Calculated Tax Effect Of Unus...","0.00"
"79","WAF","30 June 2015","Cost of Revenue","0.00"
"80","WAF","30 June 2015","Cost of Revenue,Reconciled","0.00"
"81","WAF","30 June 2015","Depreciation","0.29"
"82","WAF","30 June 2015","Depreciation and Amortization","0.29"
"83","WAF","30 June 2015","Depreciation,Amortization and...","0.29"
"84","WAF","30 June 2015","Depreciation,Reconciled","0.29"
"85","WAF","30 June 2015","Diluted EPS","-0.03"
"86","WAF","30 June 2015","Diluted EPS from Continuing O...","-0.03"
"87","WAF","30 June 2015","Diluted EPS,Continuing and Di...","-0.03"
"88","WAF","30 June 2015","Diluted Weighted Average Shar...","270.30"
"89","WAF","30 June 2015","Earning Before Interest and T...","-7.70"
"90","WAF","30 June 2015","Earning Before Interest Tax D...","-7.41"
"91","WAF","30 June 2015","General and Administrative Ex...","7.59"
"92","WAF","30 June 2015","Gross Profit","0.01"
"93","WAF","30 June 2015","Interest Expense","0.27"
"94","WAF","30 June 2015","Interest Expense-Non Operatin...","0.27"
"95","WAF","30 June 2015","Interest Income/Expense,Net-N...","-0.27"
"96","WAF","30 June 2015","Net Income","-7.69"
"97","WAF","30 June 2015","Net Income Available to Commo...","-7.69"
"98","WAF","30 June 2015","Net Income from Continuing an...","-7.69"
"99","WAF","30 June 2015","Net Income from Continuing Op...","-7.69"
"100","WAF","30 June 2015","Net Income from Continuing Op...","-7.69"
"101","WAF","30 June 2015","Net Income Including Noncontr...","-7.69"
"102","WAF","30 June 2015","Net Interest Income","-0.27"
"103","WAF","30 June 2015","Non Operating Expense","-0.27"
"104","WAF","30 June 2015","Non Operating Income","0.17"
"105","WAF","30 June 2015","Normalized Basic EPS","-0.03"
"106","WAF","30 June 2015","Normalized Diluted EPS","-0.03"
"107","WAF","30 June 2015","Normalized Income","-7.69"
