"","ticker","date","variable","value"
"1","WPG","30 June 2015","Address","Level 9, Kyle House  27‐31 Macquarie Place, 2000"
"2","WPG","30 June 2015","City/Country:","Sydney, Australia"
"3","WPG","30 June 2015","Company sector name:","Basic Materials"
"4","WPG","30 June 2015","End of fiscal year:","30 June 2015"
"5","WPG","30 June 2015","Industry group name","Metals & Mining"
"6","WPG","30 June 2015","Industry name:","Copper"
"7","WPG","30 June 2015","Web address:","http://www.westernplainsresources.com.au"
"8","WPG","30 June 2015","Assets Turnover","-"
"9","WPG","30 June 2015","Book-Value pS","-"
"10","WPG","30 June 2015","Cash Flow pS","-"
"11","WPG","30 June 2015","Cash pS","-"
"12","WPG","30 June 2015","Current Ratio","3.66"
"13","WPG","30 June 2015","Dividend pS (DPS)","-"
"14","WPG","30 June 2015","Dividend Yield","-"
"15","WPG","30 June 2015","Domestic Sales","-"
"16","WPG","30 June 2015","Earnings pS (EPS)","-"
"17","WPG","30 June 2015","EBITDA Margin","-"
"18","WPG","30 June 2015","Effective Tax Rate","-"
"19","WPG","30 June 2015","Foreign Sales","-"
"20","WPG","30 June 2015","Free Cash Flow pS","-"
"21","WPG","30 June 2015","Gross gearing","-"
"22","WPG","30 June 2015","Gross Profit Margin","-"
"23","WPG","30 June 2015","Interest Cover","-"
"24","WPG","30 June 2015","Latest Shares Outstanding","685.61"
"25","WPG","30 June 2015","Leverage Ratio (Assets/Equity)","1.12"
"26","WPG","30 June 2015","LT Debt/Total Capital","-"
"27","WPG","30 June 2015","Market Capitalisation","58.96"
"28","WPG","30 June 2015","Net Debt","-"
"29","WPG","30 June 2015","PE Ratio","-"
"30","WPG","30 June 2015","Pre-Tax Profit Margin","-"
"31","WPG","30 June 2015","Research & Devlopment (R&D) as ...","-"
"32","WPG","30 June 2015","Return on Assets (ROA)","-0.30"
"33","WPG","30 June 2015","Return on Capital Invested (ROC...","-0.33"
"34","WPG","30 June 2015","Return on Equity (ROE)","-0.32"
"35","WPG","30 June 2015","Sales per Employee","-"
"36","WPG","30 June 2015","Selling, General & Adm/tive (SG...","-"
"37","WPG","30 June 2015","Spread","0.00"
"38","WPG","30 June 2015","Tangible Book-Value pS","-"
"39","WPG","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"40","WPG","30 June 2015","Working Capital pS","-"
"41","WPG","30 June 2015","WPG KEY FIGURES (at previous day's close)",NA
"42","WPG","30 June 2015","Yesterday's Close","0.09"
"43","WPG","30 June 2015","1 Month","0.09"
"44","WPG","30 June 2015","1 Month","0.08"
"45","WPG","30 June 2015","1 Week","0.09"
