ticker	year	variable	value
WBC	2006	Net Profit After Tax	3071000000
WBC	2007	Net Profit After Tax	3451000000
WBC	2008	Net Profit After Tax	3859000000
WBC	2009	Net Profit After Tax	3446000000
WBC	2010	Net Profit After Tax	6346000000
WBC	2011	Net Profit After Tax	6991000000
WBC	2012	Net Profit After Tax	5936000000
WBC	2013	Net Profit After Tax	6751000000
WBC	2014	Net Profit After Tax	7561000000
WBC	2015	Net Profit After Tax	8012000000
WBC	2011	Total Equity	43808000
WBC	2012	Total Equity	46265000
WBC	2013	Total Equity	47537000
WBC	2014	Total Equity	49337000
WBC	2015	Total Equity	53915000
CBA	2016	Net Profit After Tax	9450000000
CBA	2015	Net Profit After Tax	9137000000
